anchor_item,recommended_item,recommendation_rank,cosine_similarity,co_basket_count,anchor_basket_count,recommended_basket_count,recommendation_score
AIR CARE,HOUSEHOLD CLEANG NEEDS,1,0.20329394658252725,1078,3808,7384,1.419762224140777
AIR CARE,LAUNDRY DETERGENTS,2,0.13528529087028074,768,3808,8463,0.898983064669047
AIR CARE,LAUNDRY ADDITIVES,3,0.135081264943226,556,3808,4449,0.8540601102954488
APPLES,TROPICAL FRUIT,1,0.31575158289636746,6539,13210,32466,2.7740962961761366
APPLES,BAKED BREAD/BUNS/ROLLS,2,0.24838039330101397,7008,13210,60263,2.199396042273289
APPLES,FLUID MILK PRODUCTS,3,0.24254007357745627,7333,13210,69198,2.1586736804567224
APPLES,CITRUS,4,0.2342401131515478,2707,13210,10110,1.8514258044616398
APPLES,CHEESE,5,0.22894753200736412,5696,13210,46856,1.9798684276834604
APPLES,YOGURT,6,0.2255788992936805,3439,13210,17594,1.836940127046743
APPLES,COLD CEREAL,7,0.21180899914640622,3859,13210,25128,1.749208196301614
APPLES,GRAPES,8,0.2100425270365955,2427,13210,10107,1.63724435268712
APPLES,SOUP,9,0.19725024579350642,3481,13210,23576,1.6086471827697764
APPLES,VEGETABLES - ALL OTHERS,10,0.19694939702260778,2894,13210,16345,1.569832513635643
BABY FOODS,INFANT FORMULA,1,0.21580047646989922,718,4230,2617,1.41950561514914
BABY FOODS,DIAPERS & DISPOSABLES,2,0.1614842106569515,710,4230,4570,1.060413913969542
BABY FOODS,INFANT CARE PRODUCTS,3,0.15562747260034415,341,4230,1135,0.9080568481104044
BABY FOODS,BABY HBC,4,0.14921189396709592,612,4230,3977,0.9576963882630404
BABY HBC,DIAPERS & DISPOSABLES,1,0.2580220311217301,1100,3977,4570,1.8071796326812521
BABY HBC,BABY FOODS,2,0.14921189396709592,612,3977,4230,0.9576963882630404
BACON,EGGS,1,0.2782867893324901,4842,10864,27866,2.361344011140628
BACON,BAKED BREAD/BUNS/ROLLS,2,0.24500673194658437,6269,10864,60263,2.1422241112265232
BACON,BREAKFAST SAUSAGE/SANDWICHES,3,0.2435568515632898,2659,10864,10971,1.9207091573883155
BACON,CHEESE,4,0.2404486032018924,5425,10864,46856,2.0676073182369255
BACON,BEEF,5,0.23709911291474464,4734,10864,36695,2.006507436863327
BACON,FLUID MILK PRODUCTS,6,0.22856937724532228,6267,10864,69198,1.9984306598999417
BACON,REFRGRATD DOUGH PRODUCTS,7,0.20016818879752504,2479,10864,14118,1.5645173338008527
BACON,VEGETABLES - SHELF STABLE,8,0.19195510214262612,3007,10864,22588,1.5373743032159868
BACON,BAG SNACKS,9,0.1894210741668604,4045,10864,41975,1.5732337041136708
BACON,REFRGRATD JUICES/DRNKS,10,0.18854894111238993,3164,10864,25920,1.5196871819476603
BAG SNACKS,BAKED BREAD/BUNS/ROLLS,1,0.38992314376473686,19611,41975,60263,3.8539601529750622
BAG SNACKS,SOFT DRINKS,2,0.37453996828661845,20525,41975,71545,3.7189750095098257
BAG SNACKS,CHEESE,3,0.3726628227111988,16527,41975,46856,3.6196036350329233
BAG SNACKS,FLUID MILK PRODUCTS,4,0.3398138582481654,18314,41975,69198,3.335434659735117
BAG SNACKS,BEEF,5,0.2974292576127639,11673,41975,36695,2.7854605182597822
BAG SNACKS,MILK BY-PRODUCTS,6,0.28595923559160286,8222,41975,19695,2.5778339715812493
BAG SNACKS,FROZEN PIZZA,7,0.28404991731278345,8853,41975,23142,2.5816230698925455
BAG SNACKS,CRACKERS/MISC BKD FD,8,0.280116084376877,8647,41975,22702,2.539275655162437
BAG SNACKS,LUNCHMEAT,9,0.2734429376841036,8624,41975,23697,2.478054813472901
BAG SNACKS,COLD CEREAL,10,0.26464979804909683,8595,41975,25128,2.3974763505330343
BAKED BREAD/BUNS/ROLLS,FLUID MILK PRODUCTS,1,0.4796043164210295,30971,60263,69198,4.959510947637645
BAKED BREAD/BUNS/ROLLS,CHEESE,2,0.4500893368435206,23917,60263,46856,4.53797469523127
BAKED BREAD/BUNS/ROLLS,BEEF,3,0.39976606740901244,18799,60263,36695,3.9343425856977485
BAKED BREAD/BUNS/ROLLS,BAG SNACKS,4,0.38992314376473686,19611,60263,41975,3.8539601529750622
BAKED BREAD/BUNS/ROLLS,SOFT DRINKS,5,0.3726805254201217,24471,60263,71545,3.7660428807714146
BAKED BREAD/BUNS/ROLLS,TROPICAL FRUIT,6,0.36755924700410825,16258,60263,32466,3.5640021738809216
BAKED BREAD/BUNS/ROLLS,LUNCHMEAT,7,0.3602845074558083,13615,60263,23697,3.429548533006638
BAKED BREAD/BUNS/ROLLS,EGGS,8,0.35725505815781194,14640,60263,27866,3.426640860559697
BAKED BREAD/BUNS/ROLLS,COLD CEREAL,9,0.3499524144616318,13618,60263,25128,3.3312744271856007
BAKED BREAD/BUNS/ROLLS,DELI MEATS,10,0.3380404700364719,10856,60263,17114,3.14126314599147
BAKED SWEET GOODS,BAKED BREAD/BUNS/ROLLS,1,0.30633371903747186,10278,18680,60263,2.8298674761181197
BAKED SWEET GOODS,FLUID MILK PRODUCTS,2,0.27619387379388477,9930,18680,69198,2.5419272433705284
BAKED SWEET GOODS,BAG SNACKS,3,0.2572704557124525,7204,18680,41975,2.2852126717844805
BAKED SWEET GOODS,SOFT DRINKS,4,0.24572159162052518,8983,18680,71545,2.2368529148206546
BAKED SWEET GOODS,CHEESE,5,0.23302377716619077,6894,18680,46856,2.059592722837787
BAKED SWEET GOODS,BEEF,6,0.22004220752414158,5761,18680,36695,1.9053542580780667
BAKED SWEET GOODS,FROZEN PIZZA,7,0.21917456234342955,4557,18680,23142,1.8464666117104451
BAKED SWEET GOODS,COLD CEREAL,8,0.21435065425192215,4644,18680,25128,1.809879748901622
BAKED SWEET GOODS,CONVENIENT BRKFST/WHLSM SNACKS,9,0.21399313373106582,3459,18680,13987,1.7438351543736499
BAKED SWEET GOODS,LUNCHMEAT,10,0.21222001603102023,4465,18680,23697,1.7835497370526263
BAKING MIXES,BAKING NEEDS,1,0.23892071842847867,2587,11282,10392,1.87759207131217
