household_key,voucher_recommendation_rank,recommended_item,recommended_item_group,predicted_purchase_score,strongest_purchased_anchor_item,strongest_purchased_anchor_group,anchor_item_similarity,household_eligible_item_count,recommended_item_basket_count,score_method,diversity_relaxed_flag
1,1,FROZEN PIZZA,GROCERY,0.2929942954043147,FRZN MEAT/MEAT DINNERS,GROCERY,0.3133833569227961,124,23142,top_5_filtered_similarity_mean,0
1,2,CHICKEN,MEAT,0.24823073037344917,BEEF,MEAT,0.2856478769962882,124,15042,top_5_filtered_similarity_mean,0
1,3,BREAKFAST SAUSAGE/SANDWICHES,MEAT-PCKGD,0.24129181378349335,EGGS,GROCERY,0.25885355017337613,124,10971,top_5_filtered_similarity_mean,0
10,1,CHEESE,GROCERY,0.40118252985033076,BAKED BREAD/BUNS/ROLLS,GROCERY,0.4500893368435206,40,46856,top_5_filtered_similarity_mean,0
10,2,TROPICAL FRUIT,PRODUCE,0.3170179368801823,FLUID MILK PRODUCTS,GROCERY,0.377251208615489,40,32466,top_5_filtered_similarity_mean,0
10,3,HOT DOGS,MEAT-PCKGD,0.24106574421308968,BAKED BREAD/BUNS/ROLLS,GROCERY,0.3003419980271218,40,10921,top_5_filtered_similarity_mean,0
100,1,DRY NOODLES/PASTA,GROCERY,0.33401937036796403,PASTA SAUCE,GROCERY,0.5010828360778531,96,14017,top_5_filtered_similarity_mean,0
100,2,TROPICAL FRUIT,PRODUCE,0.32979600808386483,FLUID MILK PRODUCTS,GROCERY,0.377251208615489,96,32466,top_5_filtered_similarity_mean,0
100,3,CHEESES,DELI,0.2732057025044946,DELI MEATS,DELI,0.5124038182012465,96,11320,top_5_filtered_similarity_mean,0
1000,1,BEEF,MEAT,0.3581789476862284,BAKED BREAD/BUNS/ROLLS,GROCERY,0.39976606740901244,128,36695,top_5_filtered_similarity_mean,0
1000,2,PASTA SAUCE,GROCERY,0.31298463918098296,DRY NOODLES/PASTA,GROCERY,0.5010828360778531,128,11722,top_5_filtered_similarity_mean,0
1000,3,ONIONS,PRODUCE,0.2761984504912838,VEGETABLES - ALL OTHERS,PRODUCE,0.29553283050427526,128,15553,top_5_filtered_similarity_mean,0
1001,1,MILK BY-PRODUCTS,GROCERY,0.29464073408766606,CHEESE,GROCERY,0.35946949395637046,132,19695,top_5_filtered_similarity_mean,0
1001,2,CHEESES,DELI,0.2756888968181451,DELI MEATS,DELI,0.5124038182012465,132,11320,top_5_filtered_similarity_mean,0
1001,3,APPLES,PRODUCE,0.25397193898674997,TROPICAL FRUIT,PRODUCE,0.31575158289636746,132,13210,top_5_filtered_similarity_mean,0
1002,1,DELI MEATS,DELI,0.3238446237333811,CHEESES,DELI,0.5124038182012465,112,17114,top_5_filtered_similarity_mean,0
1002,2,MILK BY-PRODUCTS,GROCERY,0.29464073408766606,CHEESE,GROCERY,0.35946949395637046,112,19695,top_5_filtered_similarity_mean,0
1002,3,SALAD MIX,PRODUCE,0.2596620162630081,SALD DRSNG/SNDWCH SPRD,GROCERY,0.27425501022864407,112,15518,top_5_filtered_similarity_mean,0
1003,1,EGGS,GROCERY,0.33766970667012874,FLUID MILK PRODUCTS,GROCERY,0.3929214210952837,127,27866,top_5_filtered_similarity_mean,0
1003,2,CHICKEN,MEAT,0.24823073037344917,BEEF,MEAT,0.2856478769962882,127,15042,top_5_filtered_similarity_mean,0
1003,3,PEPPERS-ALL,PRODUCE,0.2445098339722407,ONIONS,PRODUCE,0.3075117366367512,127,8220,top_5_filtered_similarity_mean,0
1004,1,MILK BY-PRODUCTS,GROCERY,0.29464073408766606,CHEESE,GROCERY,0.35946949395637046,112,19695,top_5_filtered_similarity_mean,0
1004,2,POTATOES,PRODUCE,0.26947429957855545,BEEF,MEAT,0.2863332507481838,112,15284,top_5_filtered_similarity_mean,0
1004,3,DELI MEATS,DELI,0.2688785464326188,BAKED BREAD/BUNS/ROLLS,GROCERY,0.3380404700364719,112,17114,top_5_filtered_similarity_mean,0
1005,1,MILK BY-PRODUCTS,GROCERY,0.29464073408766606,CHEESE,GROCERY,0.35946949395637046,96,19695,top_5_filtered_similarity_mean,0
1005,2,DELI MEATS,DELI,0.2688785464326188,BAKED BREAD/BUNS/ROLLS,GROCERY,0.3380404700364719,96,17114,top_5_filtered_similarity_mean,0
1005,3,TOMATOES,PRODUCE,0.266733281915695,VEGETABLES - ALL OTHERS,PRODUCE,0.2848437197977615,96,15256,top_5_filtered_similarity_mean,0
1006,1,CHEESE,GROCERY,0.39333318079076535,BAKED BREAD/BUNS/ROLLS,GROCERY,0.4500893368435206,27,46856,top_5_filtered_similarity_mean,0
1006,2,TROPICAL FRUIT,PRODUCE,0.3131547023599513,FLUID MILK PRODUCTS,GROCERY,0.377251208615489,27,32466,top_5_filtered_similarity_mean,0
1006,3,LUNCHMEAT,MEAT-PCKGD,0.2891780715287341,BAKED BREAD/BUNS/ROLLS,GROCERY,0.3602845074558083,27,23697,top_5_filtered_similarity_mean,0
1007,1,CHEESES,DELI,0.2756888968181451,DELI MEATS,DELI,0.5124038182012465,129,11320,top_5_filtered_similarity_mean,0
1007,2,VEGETABLES - ALL OTHERS,PRODUCE,0.2668515286323267,ONIONS,PRODUCE,0.29553283050427526,129,16345,top_5_filtered_similarity_mean,0
1007,3,REFRGRATD DOUGH PRODUCTS,GROCERY,0.2515375240207958,CHEESE,GROCERY,0.2857321131737907,129,14118,top_5_filtered_similarity_mean,0
1008,1,TROPICAL FRUIT,PRODUCE,0.3204866822635123,FLUID MILK PRODUCTS,GROCERY,0.377251208615489,44,32466,top_5_filtered_similarity_mean,0
1008,2,COLD CEREAL,GROCERY,0.3200354946862928,FLUID MILK PRODUCTS,GROCERY,0.40360671489083316,44,25128,top_5_filtered_similarity_mean,0
1008,3,DELI MEATS,DELI,0.2627207807279318,BAKED BREAD/BUNS/ROLLS,GROCERY,0.3380404700364719,44,17114,top_5_filtered_similarity_mean,0
1009,1,CHEESE,GROCERY,0.3817766468277145,BAKED BREAD/BUNS/ROLLS,GROCERY,0.4500893368435206,25,46856,top_5_filtered_similarity_mean,0
1009,2,TROPICAL FRUIT,PRODUCE,0.3158977782162215,FLUID MILK PRODUCTS,GROCERY,0.377251208615489,25,32466,top_5_filtered_similarity_mean,0
1009,3,BEEF,MEAT,0.31488229991498995,BAKED BREAD/BUNS/ROLLS,GROCERY,0.39976606740901244,25,36695,top_5_filtered_similarity_mean,0
101,1,CONVENIENT BRKFST/WHLSM SNACKS,GROCERY,0.26756147787663664,COLD CEREAL,GROCERY,0.310442902696737,116,13987,top_5_filtered_similarity_mean,0
101,2,APPLES,PRODUCE,0.25397193898674997,TROPICAL FRUIT,PRODUCE,0.31575158289636746,116,13210,top_5_filtered_similarity_mean,0
101,3,BREAD,PASTRY,0.14702932957141637,CHEESE,GROCERY,0.15576074985195162,116,7954,top_5_filtered_similarity_mean,0
1010,1,PASTA SAUCE,GROCERY,0.31994101637596967,DRY NOODLES/PASTA,GROCERY,0.5010828360778531,105,11722,top_5_filtered_similarity_mean,0
1010,2,ONIONS,PRODUCE,0.26890553595050976,VEGETABLES - ALL OTHERS,PRODUCE,0.29553283050427526,105,15553,top_5_filtered_similarity_mean,0
1010,3,HOT DOGS,MEAT-PCKGD,0.24488868107725228,BAKED BREAD/BUNS/ROLLS,GROCERY,0.3003419980271218,105,10921,top_5_filtered_similarity_mean,0
1011,1,YOGURT,GROCERY,0.27724396853637334,FLUID MILK PRODUCTS,GROCERY,0.299378740169095,142,17594,top_5_filtered_similarity_mean,0
1011,2,SOAP - LIQUID & BAR,DRUG GM,0.1568102805368685,HAIR CARE PRODUCTS,DRUG GM,0.20766278089154525,142,5861,top_5_filtered_similarity_mean,0
1011,3,STONE FRUIT,PRODUCE,0.15498417636307102,TROPICAL FRUIT,PRODUCE,0.18902600994914262,142,5483,top_5_filtered_similarity_mean,0
1012,1,POTATOES,PRODUCE,0.26947429957855545,BEEF,MEAT,0.2863332507481838,156,15284,top_5_filtered_similarity_mean,0
1012,2,PAPER TOWELS,GROCERY,0.22520754645928945,BATH TISSUES,GROCERY,0.31805533572121436,156,10170,top_5_filtered_similarity_mean,0
1012,3,FROZEN MEAT,MEAT-PCKGD,0.20665363864607095,FROZEN PIZZA,GROCERY,0.22280977700770946,156,8209,top_5_filtered_similarity_mean,0
1013,1,POTATOES,PRODUCE,0.26947429957855545,BEEF,MEAT,0.2863332507481838,92,15284,top_5_filtered_similarity_mean,0
1013,2,DELI MEATS,DELI,0.2688785464326188,BAKED BREAD/BUNS/ROLLS,GROCERY,0.3380404700364719,92,17114,top_5_filtered_similarity_mean,0
1013,3,HISPANIC,GROCERY,0.2676978453356336,CHEESE,GROCERY,0.30803595202412537,92,14255,top_5_filtered_similarity_mean,0
1014,1,DRY SAUCES/GRAVY,GROCERY,0.22825558527576656,VEGETABLES - SHELF STABLE,GROCERY,0.28639110921850763,179,6488,top_5_filtered_similarity_mean,0
1014,2,BROCCOLI/CAULIFLOWER,PRODUCE,0.1763248300321087,VEGETABLES - ALL OTHERS,PRODUCE,0.2246485340381617,179,4469,top_5_filtered_similarity_mean,0
