calibration_method,dataset,probability_decile,customer_count,mean_predicted_probability,actual_churn_rate,churn_count,calibration_gap
isotonic,validation,1,50,0.46,0.46,23,0.0
isotonic,validation,2,50,0.17266666666666666,0.22,11,-0.04733333333333334
isotonic,validation,3,50,0.11588295165394402,0.06,3,0.055882951653944024
isotonic,validation,4,50,0.10687022900763359,0.12,6,-0.01312977099236641
isotonic,validation,5,50,0.10687022900763359,0.06,3,0.04687022900763359
isotonic,validation,6,50,0.09080344884397824,0.14,7,-0.04919655115602177
isotonic,validation,7,50,0.07194244604316546,0.04,2,0.031942446043165464
isotonic,validation,8,50,0.07194244604316546,0.06,3,0.011942446043165467
isotonic,validation,9,50,0.02302158273381295,0.06,3,-0.036978417266187044
isotonic,validation,10,50,0.0,0.0,0,0.0
isotonic,test,1,50,0.44300124364615856,0.46,23,-0.01699875635384146
isotonic,test,2,50,0.16912121212121214,0.14,7,0.02912121212121213
isotonic,test,3,50,0.11255422182136636,0.08,4,0.03255422182136636
isotonic,test,4,50,0.10687022900763359,0.1,5,0.00687022900763358
isotonic,test,5,50,0.10687022900763359,0.12,6,-0.01312977099236641
isotonic,test,6,50,0.0805481240773469,0.1,5,-0.0194518759226531
isotonic,test,7,50,0.07194244604316546,0.08,4,-0.008057553956834537
isotonic,test,8,50,0.07194244604316546,0.06,3,0.011942446043165467
isotonic,test,9,50,0.02748946215993002,0.04,2,-0.012510537840069981
isotonic,test,10,50,0.0,0.02,1,-0.02
