household_key,churn_flag,Frequency,Monetary,Basket_Value_Std,customer_lifetime,Recency_Capped,Inactive_Days_Ratio,active_weeks_ratio,promo_usage_ratio,Avg_Items_Per_Basket,Discount_Per_Transaction,IPT_mean,IPT_std,IPT_CV,Private_Brand_Ratio,Display_Responsiveness,Mailer_Responsiveness,Rolling_Freq_Slope,Total_Campaigns_Received,Campaigns_Last_30D,Days_Since_Last_Camp,Camp_Count_TypeA,Camp_Count_TypeB,Camp_Count_TypeC,has_demographic_info,Primary_Store_ID,future_revenue_60d,discounted_future_revenue_60d,future_txn_count_60d,first_future_day,last_future_day,future_active_flag,annual_discount_rate,value_horizon_start_day,value_horizon_end_day
1,0,75,3849.7,1.4352152,600,2,0.0033333333333333,0.7265238879736409,0.32,20.453333333333333,0.9187999471028646,8.542857142857143,4.586324075991654,0.5368600493601693,0.1080931263858093,0.5005549361789404,0.1331853488724453,0.999999999999999,8.0,2.0,5.0,3.0,4.0,1.0,1,436,460.46,457.11626551594367,171.0,660.0,706.0,1,0.08,651,711
10,0,7,163.94,3.6183362,537,90,0.286778398510242,0.0386029411764705,0.0,7.142857142857143,0.0,191.5,234.0523445727472,1.2222053908652393,0.2337662337662337,0.6799999093333454,0.1199999840000021,0.0,0.0,0.0,651.0,0.0,0.0,0.0,0,441,70.4,69.99615378329501,20.0,669.0,685.0,1,0.08,651,711
100,0,21,1743.1,2.927011,645,37,0.0573643410852713,0.2147239263803681,0.0952380952380952,27.0,0.238095238095238,32.0,24.299062624810126,0.7593454697298571,0.1581325301204819,0.5694863962313234,0.1586102695073977,-1.0000000000000004,0.0,0.0,651.0,0.0,0.0,0.0,0,368,216.12,214.79459239323734,66.0,678.0,691.0,1,0.08,651,711
1000,0,120,3630.0,1.7951152,602,2,0.0033222591362126,0.7931034482758621,0.0083333333333333,14.216666666666669,0.0145833333333333,5.217391304347826,6.1398648603558446,1.1768051760249496,0.4147619047619048,0.3736892260548654,0.0977121063026115,0.4999999999999985,3.0,0.0,64.0,3.0,0.0,0.0,0,372,342.44,340.3112576192577,177.0,655.0,706.0,1,0.08,651,711
1001,0,72,3376.39,3.2409801,635,5,0.0078740157480314,0.4688473520249221,0.0138888888888888,12.333333333333334,0.1651388804117838,10.0,15.024710828627317,1.5024695803931511,0.1723237597911227,0.4326797357341194,0.1071895417830749,-1.5000000000000016,3.0,0.0,64.0,2.0,1.0,0.0,1,31782,697.63,692.425679909231,159.0,663.0,710.0,1,0.08,651,711
1002,0,28,895.45,1.6929142,578,3,0.0051903114186851,0.2871794871794872,0.0,13.607142857142858,0.0,23.0,21.07328482542134,0.9162293766577204,0.1990950226244343,0.5340908969524797,0.1772727232438017,2.0,0.0,0.0,651.0,0.0,0.0,0.0,0,424,78.479996,77.49813012698186,32.0,705.0,711.0,1,0.08,651,711
1003,0,62,2542.17,7.612916,623,31,0.0497592295345104,0.4222222222222222,0.0161290322580645,12.85483870967742,0.0403225806451612,13.155555555555557,13.170137632254466,1.0011076739070908,0.3866666666666666,0.5896946508616923,0.3034351116084436,-0.5000000000000002,2.0,0.0,328.0,2.0,0.0,0.0,1,295,46.56,46.24690406547254,6.0,683.0,683.0,1,0.08,651,711
1004,0,197,2441.93,2.9469068,568,1,0.0017605633802816,0.8886956521739131,0.0,3.710659898477157,0.0,3.3157894736842106,3.151981046916976,0.9505945917214303,0.2860147213459516,0.6206533127433792,0.1812434122102907,-0.5000000000000023,5.0,0.0,64.0,3.0,2.0,0.0,1,316,185.29,184.43284991279012,72.0,653.0,709.0,1,0.08,651,711
1005,0,164,2202.45,1.2349477,536,12,0.0223880597014925,0.8637200736648251,0.0121951219512195,7.292682926829267,0.0060975609756097,3.4248366013071894,3.300105282326764,0.96357754565334,0.5651857246904588,0.5018234828459265,0.2115244331763353,-3.0000000000000004,3.0,0.0,64.0,3.0,0.0,0.0,0,400,243.76,241.81655587884183,133.0,662.0,711.0,1,0.08,651,711
1006,0,9,121.51,2.4707193,598,18,0.0301003344481605,0.1041322314049586,0.2222222222222222,4.444444444444445,0.5555555555555556,72.5,85.27434717260687,1.1761977298017872,0.1568627450980392,0.5102039775093923,0.4081631820075138,0.5,0.0,0.0,651.0,0.0,0.0,0.0,0,321,16.970001,16.930686102050085,7.0,662.0,662.0,1,0.08,651,711
