model,rank_test_score,mean_cv_PR_AUC,std_cv_PR_AUC,params
Logistic Regression balanced,1,0.31595086406765593,0.04508367706993319,"{""model__C"": 0.005}"
Logistic Regression balanced,2,0.31460582933582015,0.04330988193467134,"{""model__C"": 0.05}"
Logistic Regression balanced,3,0.3143495070724002,0.043049587724449306,"{""model__C"": 0.01}"
Logistic Regression balanced,4,0.312779039454265,0.04600598721516139,"{""model__C"": 0.03}"
Logistic Regression balanced,5,0.30867586976777195,0.03576430239070858,"{""model__C"": 0.1}"
Logistic Regression balanced,6,0.293209283974272,0.023992744358639392,"{""model__C"": 0.3}"
Logistic Regression balanced,7,0.28345445597754315,0.017426771376622126,"{""model__C"": 0.5}"
Logistic Regression balanced,8,0.27526167371293486,0.015735148899091098,"{""model__C"": 1.0}"
Logistic Regression balanced,9,0.2613886168757963,0.016989159087065393,"{""model__C"": 2.0}"
Logistic Regression balanced,10,0.255730736022337,0.02026906780827743,"{""model__C"": 3.0}"
Random Forest balanced,1,0.36226143132835137,0.06778074558161812,"{""model__max_depth"": null, ""model__max_features"": null, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}"
Random Forest balanced,2,0.3619950569252336,0.07153356663842728,"{""model__max_depth"": 10, ""model__max_features"": null, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 500}"
Random Forest balanced,3,0.3573321305625144,0.06901789150366594,"{""model__max_depth"": 5, ""model__max_features"": null, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 500}"
Random Forest balanced,4,0.3566570680567885,0.05710329181079525,"{""model__max_depth"": null, ""model__max_features"": null, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 200}"
Random Forest balanced,5,0.3560164837505292,0.07516145908078616,"{""model__max_depth"": null, ""model__max_features"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}"
Random Forest balanced,6,0.3533096546510993,0.07733807381224353,"{""model__max_depth"": 5, ""model__max_features"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 500}"
Random Forest balanced,7,0.35113253753062545,0.06652779929996168,"{""model__max_depth"": 5, ""model__max_features"": null, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 500}"
Random Forest balanced,8,0.347338026702532,0.06356964741827993,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 500}"
Random Forest balanced,9,0.34644381055794704,0.05769013287295111,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 200}"
Random Forest balanced,10,0.34457636341142506,0.06767186844577866,"{""model__max_depth"": 5, ""model__max_features"": null, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 200}"
Random Forest balanced,11,0.3433351922675417,0.07004353394399622,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}"
Random Forest balanced,12,0.34280048733589885,0.07235739085157891,"{""model__max_depth"": null, ""model__max_features"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}"
Random Forest balanced,13,0.3420802155743636,0.06589314960249301,"{""model__max_depth"": 5, ""model__max_features"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}"
Random Forest balanced,14,0.3411517711161285,0.06171589442789049,"{""model__max_depth"": 10, ""model__max_features"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}"
Random Forest balanced,15,0.33739367760901534,0.06691948118828477,"{""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 500}"
Random Forest balanced,16,0.3355678337063227,0.07022158811537485,"{""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}"
Random Forest balanced,17,0.3346680324113173,0.06940406307677927,"{""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 500}"
Random Forest balanced,18,0.3345157491376548,0.04555693103247986,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}"
Random Forest balanced,19,0.33089385204176214,0.07327324707292272,"{""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 500}"
Random Forest balanced,20,0.3290786334085034,0.061118480311595016,"{""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}"
Random Forest balanced,21,0.32825392662900665,0.07066498344838128,"{""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 100}"
Random Forest balanced,22,0.3275446267610465,0.06501863295143716,"{""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}"
Random Forest balanced,23,0.3267354565436361,0.07034078841962838,"{""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}"
