scenario,scenario_type,gross_margin,save_rate_given_treatment,treatment_cost,profitable_customer_count,profitable_customer_share,total_expected_incremental_profit_if_target_positive_only,top_30pct_risk_customer_count,total_expected_incremental_profit_if_target_top_30pct_risk
m0.20_s0.03_c1.0,sensitivity,0.2,0.03,1.0,1,0.00040016006402561027,0.05128208103542353,750,-657.1334588660173
m0.20_s0.03_c2.0,sensitivity,0.2,0.03,2.0,0,0.0,0.0,750,-1407.1334588660172
m0.20_s0.03_c3.0,sensitivity,0.2,0.03,3.0,0,0.0,0.0,750,-2157.1334588660175
m0.20_s0.03_c5.0,sensitivity,0.2,0.03,5.0,0,0.0,0.0,750,-3657.1334588660175
m0.20_s0.03_c8.0,sensitivity,0.2,0.03,8.0,0,0.0,0.0,750,-5907.1334588660175
m0.20_s0.05_c1.0,sensitivity,0.2,0.05,1.0,31,0.012404961984793917,4.546599196940022,750,-595.2224314433623
m0.20_s0.05_c2.0,sensitivity,0.2,0.05,2.0,0,0.0,0.0,750,-1345.2224314433622
m0.20_s0.05_c3.0,sensitivity,0.2,0.05,3.0,0,0.0,0.0,750,-2095.222431443362
m0.20_s0.05_c5.0,sensitivity,0.2,0.05,5.0,0,0.0,0.0,750,-3595.222431443362
m0.20_s0.05_c8.0,sensitivity,0.2,0.05,8.0,0,0.0,0.0,750,-5845.222431443362
m0.20_s0.08_c1.0,sensitivity,0.2,0.08,1.0,194,0.07763105242096839,60.743420807427796,750,-502.35589030937956
m0.20_s0.08_c2.0,sensitivity,0.2,0.08,2.0,4,0.001600640256102441,1.272416087637707,750,-1252.3558903093797
m0.20_s0.08_c3.0,sensitivity,0.2,0.08,3.0,0,0.0,0.0,750,-2002.3558903093797
m0.20_s0.08_c5.0,sensitivity,0.2,0.08,5.0,0,0.0,0.0,750,-3502.3558903093794
m0.20_s0.08_c8.0,sensitivity,0.2,0.08,8.0,0,0.0,0.0,750,-5752.35589030938
m0.20_s0.10_c1.0,sensitivity,0.2,0.1,1.0,317,0.12685074029611845,138.78769045183816,750,-440.44486288672454
m0.20_s0.10_c2.0,sensitivity,0.2,0.1,2.0,31,0.012404961984793917,9.093198393880044,750,-1190.4448628867246
m0.20_s0.10_c3.0,sensitivity,0.2,0.1,3.0,1,0.00040016006402561027,0.5042736034514124,750,-1940.4448628867244
m0.20_s0.10_c5.0,sensitivity,0.2,0.1,5.0,0,0.0,0.0,750,-3440.4448628867244
m0.20_s0.10_c8.0,sensitivity,0.2,0.1,8.0,0,0.0,0.0,750,-5690.444862886724
m0.20_s0.15_c1.0,sensitivity,0.2,0.15,1.0,655,0.2621048419367747,445.1349425060095,750,-285.66729433008686
m0.20_s0.15_c2.0,sensitivity,0.2,0.15,2.0,157,0.06282513005202081,91.69832305341194,750,-1035.6672943300869
m0.20_s0.15_c3.0,sensitivity,0.2,0.15,3.0,31,0.012404961984793917,13.639797590820056,750,-1785.6672943300869
m0.20_s0.15_c5.0,sensitivity,0.2,0.15,5.0,1,0.00040016006402561027,0.25641040517711744,750,-3285.667294330087
m0.20_s0.15_c8.0,sensitivity,0.2,0.15,8.0,0,0.0,0.0,750,-5535.667294330087
m0.20_s0.20_c1.0,sensitivity,0.2,0.2,1.0,923,0.36934773909563823,854.5085508046245,750,-130.88972577344907
m0.20_s0.20_c2.0,sensitivity,0.2,0.2,2.0,317,0.12685074029611845,277.5753809036763,750,-880.8897257734491
m0.20_s0.20_c3.0,sensitivity,0.2,0.2,3.0,108,0.04321728691476591,78.81345385599168,750,-1630.889725773449
m0.20_s0.20_c5.0,sensitivity,0.2,0.2,5.0,4,0.001600640256102441,3.181040219094271,750,-3130.889725773449
m0.20_s0.20_c8.0,sensitivity,0.2,0.2,8.0,0,0.0,0.0,750,-5380.889725773449
m0.25_s0.03_c1.0,sensitivity,0.25,0.03,1.0,2,0.0008003201280512205,0.400776215050207,750,-633.9168235825217
m0.25_s0.03_c2.0,sensitivity,0.25,0.03,2.0,0,0.0,0.0,750,-1383.9168235825218
m0.25_s0.03_c3.0,sensitivity,0.25,0.03,3.0,0,0.0,0.0,750,-2133.916823582522
m0.25_s0.03_c5.0,sensitivity,0.25,0.03,5.0,0,0.0,0.0,750,-3633.916823582522
m0.25_s0.03_c8.0,sensitivity,0.25,0.03,8.0,0,0.0,0.0,750,-5883.916823582522
m0.25_s0.05_c1.0,sensitivity,0.25,0.05,1.0,88,0.035214085634253704,18.630315685885527,750,-556.5280393042028
m0.25_s0.05_c2.0,sensitivity,0.25,0.05,2.0,1,0.00040016006402561027,0.19017100215713256,750,-1306.5280393042028
m0.25_s0.05_c3.0,sensitivity,0.25,0.05,3.0,0,0.0,0.0,750,-2056.528039304203
m0.25_s0.05_c5.0,sensitivity,0.25,0.05,5.0,0,0.0,0.0,750,-3556.528039304203
m0.25_s0.05_c8.0,sensitivity,0.25,0.05,8.0,0,0.0,0.0,750,-5806.528039304203
m0.25_s0.08_c1.0,sensitivity,0.25,0.08,1.0,317,0.12685074029611845,138.7876904518381,750,-440.44486288672454
m0.25_s0.08_c2.0,sensitivity,0.25,0.08,2.0,31,0.012404961984793917,9.093198393880037,750,-1190.4448628867246
m0.25_s0.08_c3.0,sensitivity,0.25,0.08,3.0,1,0.00040016006402561027,0.5042736034514115,750,-1940.4448628867244
m0.25_s0.08_c5.0,sensitivity,0.25,0.08,5.0,0,0.0,0.0,750,-3440.4448628867244
m0.25_s0.08_c8.0,sensitivity,0.25,0.08,8.0,0,0.0,0.0,750,-5690.444862886724
m0.25_s0.10_c1.0,sensitivity,0.25,0.1,1.0,506,0.20248099239695877,274.92293561270685,750,-363.0560786084057
m0.25_s0.10_c2.0,sensitivity,0.25,0.1,2.0,88,0.035214085634253704,37.260631371771055,750,-1113.0560786084056
m0.25_s0.10_c3.0,sensitivity,0.25,0.1,3.0,7,0.0028011204481792717,2.689438232205353,750,-1863.0560786084056
m0.25_s0.10_c5.0,sensitivity,0.25,0.1,5.0,0,0.0,0.0,750,-3363.056078608406
m0.25_s0.10_c8.0,sensitivity,0.25,0.1,8.0,0,0.0,0.0,750,-5613.056078608406
m0.25_s0.15_c1.0,sensitivity,0.25,0.15,1.0,861,0.3445378151260504,745.3222523612826,750,-169.58411791260858
m0.25_s0.15_c2.0,sensitivity,0.25,0.15,2.0,279,0.11164465786314526,223.09783724951404,750,-919.5841179126086
m0.25_s0.15_c3.0,sensitivity,0.25,0.15,3.0,88,0.035214085634253704,55.89094705765655,750,-1669.5841179126085
m0.25_s0.15_c5.0,sensitivity,0.25,0.15,5.0,2,0.0008003201280512205,2.0038810752510345,750,-3169.584117912609
m0.25_s0.15_c8.0,sensitivity,0.25,0.15,8.0,0,0.0,0.0,750,-5419.584117912609
m0.25_s0.20_c1.0,sensitivity,0.25,0.2,1.0,1175,0.47018807523009204,1325.6546565400795,750,23.887842783188606
m0.25_s0.20_c2.0,sensitivity,0.25,0.2,2.0,506,0.20248099239695877,549.8458712254137,750,-726.1121572168114
m0.25_s0.20_c3.0,sensitivity,0.25,0.2,3.0,219,0.08763505402160865,215.59097052452825,750,-1476.1121572168113
m0.25_s0.20_c5.0,sensitivity,0.25,0.2,5.0,31,0.012404961984793917,22.732995984700096,750,-2976.1121572168113
m0.25_s0.20_c8.0,sensitivity,0.25,0.2,8.0,1,0.00040016006402561027,0.7606840086285303,750,-5226.112157216811
m0.30_s0.03_c1.0,sensitivity,0.3,0.03,1.0,14,0.0056022408963585435,1.790477045426308,750,-610.700188299026
m0.30_s0.03_c2.0,sensitivity,0.3,0.03,2.0,0,0.0,0.0,750,-1360.7001882990262
m0.30_s0.03_c3.0,sensitivity,0.3,0.03,3.0,0,0.0,0.0,750,-2110.700188299026
m0.30_s0.03_c5.0,sensitivity,0.3,0.03,5.0,0,0.0,0.0,750,-3610.700188299026
m0.30_s0.03_c8.0,sensitivity,0.3,0.03,8.0,0,0.0,0.0,750,-5860.700188299026
m0.30_s0.05_c1.0,sensitivity,0.3,0.05,1.0,157,0.06282513005202081,45.84916152670597,750,-517.8336471650434
m0.30_s0.05_c2.0,sensitivity,0.3,0.05,2.0,2,0.0008003201280512205,0.8015524301004144,750,-1267.8336471650434
m0.30_s0.05_c3.0,sensitivity,0.3,0.05,3.0,0,0.0,0.0,750,-2017.8336471650437
m0.30_s0.05_c5.0,sensitivity,0.3,0.05,5.0,0,0.0,0.0,750,-3517.8336471650437
m0.30_s0.05_c8.0,sensitivity,0.3,0.05,8.0,0,0.0,0.0,750,-5767.833647165044
