week_index,total_sales,txn_count,active_households,first_day,last_day,period
0,6218.31,2200,108,1,6,observation
1,11641.35,3992,175,7,13,observation
2,13225.51,4661,243,14,20,observation
3,16196.04,5578,279,21,27,observation
4,20969.27,7547,382,28,34,observation
5,25155.209,8803,425,35,41,observation
6,27495.74,8961,494,42,48,observation
7,30224.53,10103,533,49,55,observation
8,31080.52,10769,609,56,62,observation
9,43699.918,14348,727,63,69,observation
10,47478.73,16173,817,70,76,observation
11,49866.02,17203,893,77,83,observation
12,52647.06,18506,957,84,90,observation
13,60188.28,21658,1078,91,97,observation
14,72190.99,24091,1173,98,104,observation
15,73440.67,26027,1270,105,111,observation
16,74832.08,26319,1354,112,118,observation
17,70028.12,24993,1247,119,125,observation
18,68300.586,24484,1262,126,132,observation
19,80399.38,29177,1287,133,139,observation
20,74993.39,26431,1280,140,146,observation
21,67741.16,24297,1270,147,153,observation
22,71234.74,25541,1283,154,160,observation
23,81841.98,27891,1312,161,167,observation
24,76772.22,26929,1306,168,174,observation
25,71941.79,25300,1273,175,181,observation
26,71017.95,26271,1251,182,188,observation
27,73427.3,25362,1252,189,195,observation
28,80196.56,27903,1304,196,202,observation
29,72210.02,25095,1280,203,209,observation
30,70574.17,25340,1242,210,216,observation
31,72138.97,24946,1264,217,223,observation
32,79497.39,27179,1266,224,230,observation
33,73763.26,25644,1264,231,237,observation
34,80934.74,28179,1286,238,244,observation
35,75099.18,25536,1281,245,251,observation
36,85351.14,29539,1307,252,258,observation
37,78772.6,27773,1231,259,265,observation
38,79052.51,26912,1290,266,272,observation
39,80904.15,25272,1234,273,279,observation
40,80464.89,27371,1288,280,286,observation
41,87052.25,30781,1311,287,293,observation
42,78206.22,27313,1265,294,300,observation
43,75777.71,27516,1308,301,307,observation
44,72355.62,25746,1247,308,314,observation
45,90817.85,30756,1307,315,321,observation
46,83223.46,28363,1285,322,328,observation
47,73425.58,25111,1251,329,335,observation
48,78106.87,28136,1274,336,342,observation
49,84917.28,29582,1319,343,349,observation
50,76811.76,26929,1265,350,356,observation
51,82587.25,28919,1303,357,363,observation
52,74847.22,26780,1237,364,370,observation
53,80593.13,27923,1301,371,377,observation
54,78554.38,28083,1293,378,384,observation
55,79938.64,27560,1299,385,391,observation
56,73621.8,25771,1268,392,398,observation
57,77793.73,27144,1266,399,405,observation
58,87337.5,30183,1360,406,412,observation
59,82591.89,27669,1348,413,419,observation
60,80999.81,27952,1338,420,426,observation
61,80939.7,26380,1335,427,433,observation
62,85594.75,29188,1314,434,440,observation
63,80588.04,27644,1299,441,447,observation
64,77399.51,27038,1300,448,454,observation
65,71125.35,25503,1270,455,461,observation
66,83735.49,27644,1319,462,468,observation
67,88354.27,30753,1364,469,475,observation
68,74773.39,25977,1296,476,482,observation
69,75817.28,26461,1288,483,489,observation
70,74154.16,25919,1308,490,496,observation
71,89448.42,31428,1384,497,503,observation
72,77693.57,27072,1310,504,510,observation
73,73690.36,26225,1263,511,517,observation
74,73646.5,25870,1293,518,524,observation
75,84358.79,28227,1309,525,531,observation
76,81067.37,28068,1332,532,538,observation
77,76093.92,26321,1259,539,545,observation
78,73511.086,26393,1323,546,552,observation
79,77365.88,26314,1300,553,559,observation
80,83848.25,28434,1326,560,566,observation
81,77800.99,26085,1315,567,573,observation
82,77384.58,26369,1324,574,580,observation
83,78438.51,26453,1295,581,587,observation
84,90420.33,30251,1373,588,594,observation
85,78667.95,27313,1309,595,601,observation
86,87774.01,28932,1352,602,608,observation
87,80132.31,26461,1322,609,615,observation
88,84123.8,28372,1304,616,622,observation
89,85173.21,28469,1330,623,629,observation
90,81267.52,27010,1312,630,636,observation
91,91367.46,28489,1309,637,643,observation
92,84849.07,27792,1305,644,650,observation
93,89724.41,30865,1334,651,657,prediction_window
94,83661.52,29067,1314,658,664,prediction_window
95,80820.99,27901,1280,665,671,prediction_window
96,80316.12,27990,1306,672,678,prediction_window
97,93787.05,31627,1373,679,685,prediction_window
98,104122.77,34815,1368,686,692,prediction_window
99,75085.0,24540,1214,693,699,prediction_window
100,77351.72,26264,1258,700,706,prediction_window
101,55017.69,18325,1056,707,711,prediction_window
