household_key,p_churn_calibrated,priority_segment,top_positive_driver_1,top_positive_shap_1,top_negative_driver_1,top_negative_shap_1,top_positive_driver_2,top_positive_shap_2,top_negative_driver_2,top_negative_shap_2,top_positive_driver_3,top_positive_shap_3,top_negative_driver_3,top_negative_shap_3
2051,0.3567665152527032,High Risk - Low Value,Inactive_Days_Ratio,0.8566042184829712,IPT_CV,-0.005265119019895792,Recency_Capped,0.28870153427124023,Mailer_Responsiveness,-0.0028635559137910604,Frequency,0.15459869801998138,promo_usage_ratio,-0.002653716132044792
2443,0.356420383726086,High Risk - Low Value,Inactive_Days_Ratio,0.8530608415603638,Basket_Value_Std,-0.007857444696128368,Recency_Capped,0.29050397872924805,promo_usage_ratio,-0.002653716132044792,Frequency,0.15459869801998138,Primary_Store_ID_356,-5.5691638408461586e-05
1974,0.356420383726086,High Risk - Low Value,Inactive_Days_Ratio,0.8530608415603638,Basket_Value_Std,-0.007857444696128368,Recency_Capped,0.29050397872924805,promo_usage_ratio,-0.002653716132044792,Frequency,0.15459869801998138,Primary_Store_ID_356,-5.5691638408461586e-05
918,0.3555891891403414,High Risk - Low Value,Inactive_Days_Ratio,0.8998377323150635,Mailer_Responsiveness,-0.012287669815123081,Recency_Capped,0.29489049315452576,Basket_Value_Std,-0.012182941660284996,Frequency,0.15459869801998138,IPT_CV,-0.003827017964795232
370,0.3548717373536745,High Risk - Low Value,Inactive_Days_Ratio,0.9072129726409912,Basket_Value_Std,-0.012182941660284996,Recency_Capped,0.2919752895832062,IPT_CV,-0.005265119019895792,Frequency,0.15459869801998138,Total_Campaigns_Received,-0.0035181199200451374
2092,0.3540348910238661,High Risk - Low Value,Inactive_Days_Ratio,0.8843852877616882,Mailer_Responsiveness,-0.0144339045509696,Recency_Capped,0.2913527488708496,Basket_Value_Std,-0.012182941660284996,Frequency,0.15459869801998138,IPT_CV,-0.003827017964795232
1031,0.35265516191788915,High Risk - Low Value,Inactive_Days_Ratio,0.9070661067962646,Mailer_Responsiveness,-0.0144339045509696,Recency_Capped,0.29531916975975037,Basket_Value_Std,-0.011141188442707062,Frequency,0.15459869801998138,coupon_dependency,-0.00805267971009016
2493,0.35265516191788915,High Risk - Low Value,Inactive_Days_Ratio,0.8685222864151001,Mailer_Responsiveness,-0.012287669815123081,Recency_Capped,0.29281461238861084,Basket_Value_Std,-0.012182941660284996,Frequency,0.15459869801998138,coupon_dependency,-0.00805267971009016
93,0.34794670234208547,High Risk - Low Value,Inactive_Days_Ratio,0.861882746219635,Mailer_Responsiveness,-0.014347421936690807,Recency_Capped,0.2915622293949127,Basket_Value_Std,-0.009573924355208874,Frequency,0.15459869801998138,Camp_Count_TypeB,-0.009347219951450825
2066,0.34508232548981904,High Risk - Low Value,Inactive_Days_Ratio,0.7994142174720764,promo_usage_ratio,-0.002653716132044792,Recency_Capped,0.27320072054862976,IPT_CV,-0.0007762142922729254,Frequency,0.15459869801998138,Primary_Store_ID_356,-5.5691638408461586e-05
2176,0.34300047683520063,High Risk - Low Value,Inactive_Days_Ratio,0.8130450248718262,Basket_Value_Std,-0.012182941660284996,Recency_Capped,0.27216753363609314,IPT_CV,-0.005265119019895792,Frequency,0.15459869801998138,Total_Campaigns_Received,-0.0035181199200451374
1403,0.34199331988092924,High Risk - Low Value,Inactive_Days_Ratio,0.80207359790802,IPT_CV,-0.005265119019895792,Recency_Capped,0.27421918511390686,Total_Campaigns_Received,-0.0035181199200451374,Frequency,0.15459869801998138,promo_usage_ratio,-0.002653716132044792
2304,0.33799782599165207,High Risk - Low Value,Inactive_Days_Ratio,0.8532509207725525,Camp_Count_TypeA,-0.02350877784192562,Recency_Capped,0.28004294633865356,coupon_dependency,-0.00805267971009016,Frequency,0.15459869801998138,IPT_CV,-0.005265119019895792
2228,0.337140453934857,High Risk - Low Value,Inactive_Days_Ratio,0.8161839842796326,Private_Brand_Ratio,-0.06915562599897385,Recency_Capped,0.25043126940727234,coupon_dependency,-0.00805267971009016,Frequency,0.15459869801998138,Mailer_Responsiveness,-0.0028635559137910604
1973,0.3361276451080734,High Risk - Low Value,Inactive_Days_Ratio,0.8470993638038635,Camp_Count_TypeA,-0.02350877784192562,Recency_Capped,0.2804630398750305,Mailer_Responsiveness,-0.012287669815123081,Frequency,0.15459869801998138,IPT_CV,-0.003827017964795232
472,0.3277233044472117,High Risk - Low Value,Inactive_Days_Ratio,0.8474200367927551,Avg_Items_Per_Basket,-0.06500327587127686,Recency_Capped,0.2828863263130188,Monetary,-0.020261887460947037,Frequency,0.15310946106910706,Mailer_Responsiveness,-0.014347421936690807
566,0.3270668891837749,High Risk - Low Value,Inactive_Days_Ratio,0.815312922000885,Private_Brand_Ratio,-0.08115198463201523,Recency_Capped,0.221275195479393,Basket_Value_Std,-0.012182941660284996,Frequency,0.15459869801998138,IPT_CV,-0.005265119019895792
682,0.31852105196145836,High Risk - Low Value,Inactive_Days_Ratio,0.8294442892074585,Private_Brand_Ratio,-0.08115198463201523,Recency_Capped,0.22172808647155762,Basket_Value_Std,-0.007857444696128368,Frequency,0.15459869801998138,IPT_CV,-0.005265119019895792
760,0.3129922376469424,High Risk - Low Value,Inactive_Days_Ratio,0.7730223536491394,Mailer_Responsiveness,-0.0164936576038599,Recency_Capped,0.2835722863674164,IPT_CV,-0.0075486586429178715,Rolling_Freq_Slope,0.04841320961713791,Total_Campaigns_Received,-0.0035181199200451374
2329,0.3129286648291806,High Risk - Low Value,Inactive_Days_Ratio,0.7711805105209351,Private_Brand_Ratio,-0.10443295538425446,Recency_Capped,0.2158677726984024,promo_usage_ratio,-0.002653716132044792,Frequency,0.15459869801998138,Rolling_Freq_Slope,-0.001367368851788342
2373,0.3077203118456675,High Risk - Low Value,Inactive_Days_Ratio,0.7556228637695312,Private_Brand_Ratio,-0.0780368223786354,Recency_Capped,0.2068803757429123,Basket_Value_Std,-0.013299314305186272,Frequency,0.15459869801998138,Total_Campaigns_Received,-0.0035181199200451374
881,0.3052166121959218,High Risk - Low Value,Inactive_Days_Ratio,0.7662322521209717,Private_Brand_Ratio,-0.0780368223786354,Recency_Capped,0.21391227841377258,Avg_Items_Per_Basket,-0.0653991624712944,Frequency,0.15459869801998138,Basket_Value_Std,-0.012110037729144096
2254,0.302373881268195,High Risk - Low Value,Inactive_Days_Ratio,0.7584072947502136,coupon_dependency,-0.00805267971009016,Recency_Capped,0.2778001129627228,Basket_Value_Std,-0.007857444696128368,IPT_std,0.035612400621175766,Total_Campaigns_Received,-0.0035181199200451374
584,0.30176829857291154,High Risk - Low Value,Inactive_Days_Ratio,0.7799696326255798,Frequency,-0.05073601379990578,Recency_Capped,0.2860768437385559,IPT_mean,-0.02771887741982937,Rolling_Freq_Slope,0.05092258006334305,Mailer_Responsiveness,-0.012287669815123081
1678,0.30074242518683497,High Risk - Low Value,Inactive_Days_Ratio,0.7352171540260315,Total_Campaigns_Received,-0.0035181199200451374,Recency_Capped,0.2342025339603424,promo_usage_ratio,-0.002653716132044792,IPT_mean,0.06729819625616074,coupon_dependency,-0.002511974424123764
499,0.30065849700465214,High Risk - Low Value,Inactive_Days_Ratio,0.9304089546203613,IPT_std,-0.20461152493953705,Recency_Capped,0.4039295017719269,IPT_mean,-0.02771887741982937,Rolling_Freq_Slope,0.053661882877349854,Camp_Count_TypeA,-0.02350877784192562
1448,0.3001484339146934,High Risk - Low Value,Inactive_Days_Ratio,0.7676575183868408,Private_Brand_Ratio,-0.08115198463201523,Recency_Capped,0.22257444262504578,Mailer_Responsiveness,-0.012287669815123081,IPT_mean,0.08752123266458511,coupon_dependency,-0.00805267971009016
1122,0.299486677164631,High Risk - Low Value,Inactive_Days_Ratio,0.7704898118972778,Private_Brand_Ratio,-0.08115198463201523,Recency_Capped,0.21860800683498383,Mailer_Responsiveness,-0.012287669815123081,IPT_mean,0.08752123266458511,Basket_Value_Std,-0.009573924355208874
179,0.2987547858847897,High Risk - Low Value,Inactive_Days_Ratio,0.7818774580955505,Frequency,-0.05073601379990578,Recency_Capped,0.28565675020217896,IPT_mean,-0.02771887741982937,Rolling_Freq_Slope,0.05092258006334305,coupon_dependency,-0.00805267971009016
1301,0.298201275878635,High Risk - Low Value,Inactive_Days_Ratio,0.7604619264602661,Basket_Value_Std,-0.013299314305186272,Recency_Capped,0.2683206796646118,Mailer_Responsiveness,-0.012287669815123081,IPT_std,0.034495625644922256,Total_Campaigns_Received,-0.0035181199200451374
