household_key,churn_flag,Frequency,Monetary,Basket_Value_Std,customer_lifetime,Recency_Capped,Inactive_Days_Ratio,active_weeks_ratio,promo_usage_ratio,Avg_Items_Per_Basket,coupon_dependency,IPT_CV,Private_Brand_Ratio,Display_Responsiveness,Mailer_Responsiveness,Rolling_Freq_Slope,Camp_Count_TypeA,Camp_Count_TypeB,Camp_Count_TypeC,Campaigns_Last_30D,Days_Since_Last_Camp,has_demographic_info,Primary_Store_ID
1,0,75,3849.7,1.4352152,600,2,0.0033333333333333335,0.7265238879736409,0.319999957333339,20.453330606222586,0.017900094,0.5368600493601693,0.10809312638580931,0.5005549361789404,0.13318534887244535,0.999999999999999,3.0,4.0,1.0,2.0,5.0,1,436
10,0,7,163.94,3.6183362,537,90,0.28677839851024206,0.03860294117647059,0.0,7.142846938790088,0.0,1.2222053908652393,0.23376623376623376,0.6799999093333454,0.11999998400000213,0.0,0.0,0.0,0.0,0.0,651.0,0,441
100,0,21,1743.1,2.927011,645,37,0.05736434108527132,0.2147239263803681,0.09523804988664292,26.999987142863265,0.0028684528,0.7593454697298571,0.15813253012048192,0.5694863962313234,0.15861026950739776,-1.0000000000000004,0.0,0.0,0.0,0.0,651.0,0,368
1000,0,120,3630.0,1.7951152,602,2,0.0033222591362126247,0.7931034482758621,0.008333332638888946,14.216665481944542,0.00048209366,1.1768051760249496,0.4147619047619048,0.37368922605486543,0.0977121063026115,0.4999999999999985,3.0,0.0,0.0,0.0,64.0,0,372
1001,0,72,3376.39,3.2409801,635,5,0.007874015748031496,0.46884735202492217,0.013888886959876811,12.333331620370608,0.0035215125,1.5024695803931511,0.17232375979112272,0.4326797357341194,0.1071895417830749,-1.5000000000000016,2.0,1.0,0.0,0.0,64.0,1,31782
1002,0,28,895.45,1.6929142,578,3,0.005190311418685121,0.2871794871794872,0.0,13.607137997450716,0.0,0.9162293766577205,0.19909502262443438,0.5340908969524797,0.17727272324380175,1.9999999999999998,0.0,0.0,0.0,0.0,651.0,0,424
1003,0,62,2542.17,7.612916,623,31,0.04975922953451043,0.4222222222222222,0.016129029656608118,12.854836636316671,0.0009834118,1.0011076739070908,0.38666666666666666,0.5896946508616923,0.3034351116084436,-0.5000000000000002,2.0,0.0,0.0,0.0,328.0,1,295
1004,0,197,2441.93,2.9469068,568,1,0.0017605633802816902,0.8886956521739131,0.0,3.7106597101187964,0.0,0.9505945917214305,0.28601472134595163,0.6206533127433792,0.18124341221029072,-0.5000000000000023,3.0,2.0,0.0,0.0,64.0,1,316
1005,0,164,2202.45,1.2349477,536,12,0.022388059701492536,0.8637200736648251,0.01219512120761456,7.2926824821535075,0.00045403984,0.9635775456533399,0.5651857246904588,0.5018234828459265,0.2115244331763353,-3.0000000000000004,3.0,0.0,0.0,0.0,64.0,0,400
1006,0,9,121.51,2.4707193,598,18,0.030100334448160536,0.10413223140495867,0.22222197530891633,4.444439506178327,0.041148875,1.1761977298017872,0.1568627450980392,0.5102039775093923,0.40816318200751384,0.5,0.0,0.0,0.0,0.0,651.0,0,321
1007,0,115,1229.99,1.5591006,578,14,0.02422145328719723,0.7538461538461538,0.0,6.026086432514223,0.0,0.7851483283835453,0.44765342960288806,0.6791314755231427,0.23160433978764366,-1.0000000000000009,3.0,0.0,0.0,0.0,64.0,0,293
1008,0,27,223.53,2.7491043,573,29,0.0506108202443281,0.2775862068965517,0.0,3.5925912620032365,0.0,1.0998032364937436,0.3904761904761905,0.5825242152889111,0.21359221227260075,-1.5000000000000007,0.0,0.0,0.0,0.0,651.0,0,292
1009,1,23,125.52,0.94417113,582,65,0.11168384879725086,0.24957555178268254,0.0,3.391302873346577,0.0,0.8949520412065005,0.312,0.39024387071188044,0.08943088703813926,-0.5000000000000002,0.0,0.0,0.0,0.0,651.0,0,381
101,0,124,4621.64,9.097772,535,2,0.003738317757009346,0.8007380073800738,0.08064515478668106,7.572580034469352,0.010794869,0.750368521600512,0.3529693486590038,0.6874400734063275,0.4204218580037303,5.5,3.0,1.0,0.0,0.0,64.0,1,292
1010,0,56,1660.6,2.267167,562,5,0.008896797153024912,0.5043936731107205,0.0,12.946426259566739,0.0,0.7535401016522795,0.4013230429988975,0.5546961264674461,0.18011049524739783,0.9999999999999996,1.0,0.0,0.0,0.0,64.0,0,341
1011,0,111,2471.8,2.2194133,608,9,0.014802631578947368,0.7739837398373983,0.05405404918431989,7.378377713659665,0.0029533133,0.8950355050552443,0.17391304347826086,0.3703703663358348,0.11982570675571126,-1.5000000000000002,2.0,2.0,0.0,1.0,27.0,0,334
1012,1,103,1953.17,1.85899,592,42,0.07094594594594594,0.654424040066778,0.009708736921481852,8.048542907908455,0.0002815935,0.9692261308747477,0.2732673267326733,0.5317460264707735,0.13888888751102293,-3.500000000000001,4.0,0.0,0.0,0.0,147.0,1,361
1013,0,32,899.3,2.5178282,600,62,0.10333333333333333,0.2767710049423394,0.03124999023437805,10.156246826172866,0.000555988,0.9572935775281506,0.22084367245657568,0.5536159462938667,0.1396508693353898,-0.5000000000000002,0.0,0.0,0.0,0.0,651.0,0,313
1014,0,136,3887.73,1.8359385,588,1,0.0017006802721088435,0.8588235294117647,0.04411764381487913,11.904410889381552,0.0022223764,0.8517088549172935,0.3864258347016968,0.5495890380844436,0.14465753345393131,-1.000000000000002,3.0,2.0,1.0,1.0,27.0,1,403
