household_key,actual_churn_flag,p_churn_raw,p_churn_calibrated,predicted_churn,p_future_active,predicted_discounted_value_60d_if_active,predicted_expected_discounted_value_60d,annual_discount_rate,future_active_flag,future_revenue_60d,discounted_future_revenue_60d,risk_decile,value_decile,priority_segment,risk_rank,risk_value_score,risk_value_rank,expected_incremental_profit_conservative,profitable_to_treat_conservative,predicted_discounted_margin_60d_if_active_conservative,predicted_expected_discounted_margin_60d_conservative,expected_incremental_profit_base,profitable_to_treat_base,predicted_discounted_margin_60d_if_active_base,predicted_expected_discounted_margin_60d_base,expected_incremental_profit_optimistic,profitable_to_treat_optimistic,predicted_discounted_margin_60d_if_active_optimistic,predicted_expected_discounted_margin_60d_optimistic,profit_rank_base,priority_rank,priority_rank_source,recommended_treatment_action_base,business_decision_note_base,recommended_item_1,recommended_item_group_1,predicted_purchase_score_1,strongest_purchased_anchor_item_1,strongest_purchased_anchor_group_1,anchor_item_similarity_1,score_method_1,rule_group_1,discount_leakage_risk_1,recommended_item_2,recommended_item_group_2,predicted_purchase_score_2,strongest_purchased_anchor_item_2,strongest_purchased_anchor_group_2,anchor_item_similarity_2,score_method_2,rule_group_2,discount_leakage_risk_2,recommended_item_3,recommended_item_group_3,predicted_purchase_score_3,strongest_purchased_anchor_item_3,strongest_purchased_anchor_group_3,anchor_item_similarity_3,score_method_3,rule_group_3,discount_leakage_risk_3,offer_available_flag,recommendation_source,primary_offer_discount_leakage_risk
2051,1,0.83085227,0.3567665152527032,1,0.5,74.50042907311489,37.25021453655744,0.08,0,0.0,0.0,1,9,High Risk - Low Value,1,26.579258465246376,866,-4.840524449208521,False,14.900085814622978,7.450042907311489,-4.66775926918442,False,18.62510726827872,9.31255363413936,-4.362097796834087,False,22.350128721934464,11.175064360967232,866,1,risk_rank_fallback_no_positive_base_profit,A/B test candidate only; not profitable under base assumptions,"No positive expected profit under base scenario; use risk/risk-value ranking for A/B test candidate selection, not auto-targeting.",POTATOES,PRODUCE,0.2694742995785554,BEEF,MEAT,0.2863332507481838,top_5_filtered_similarity_mean,,unknown,BACON,MEAT-PCKGD,0.2488796177918003,EGGS,GROCERY,0.2782867893324901,top_5_filtered_similarity_mean,,unknown,PORK,MEAT,0.2479123664164924,BEEF,MEAT,0.3058265786268862,top_5_filtered_similarity_mean,,unknown,True,M3_RecSys_personalized_voucher,unknown
1974,1,0.8304368,0.356420383726086,1,0.5882352941176471,147.92247590405495,87.01322112003233,0.08,0,0.0,0.0,1,7,High Risk - Low Value,2,52.72258562343597,283,-4.683664486259384,False,29.58449518081099,17.402644224006465,-4.340967679707051,False,36.98061897601374,21.75330528000808,-3.7346579450375366,False,44.376742771216485,26.103966336009698,283,2,risk_rank_fallback_no_positive_base_profit,A/B test candidate only; not profitable under base assumptions,"No positive expected profit under base scenario; use risk/risk-value ranking for A/B test candidate selection, not auto-targeting.",MEAT - SHELF STABLE,GROCERY,0.2842553632575912,DINNER MXS:DRY,GROCERY,0.3028661333919106,top_5_filtered_similarity_mean,,unknown,PORK,MEAT,0.2479123664164924,BEEF,MEAT,0.3058265786268862,top_5_filtered_similarity_mean,,unknown,PEPPERS-ALL,PRODUCE,0.2445098339722407,ONIONS,PRODUCE,0.3075117366367512,top_5_filtered_similarity_mean,,unknown,True,M3_RecSys_personalized_voucher,unknown
2443,1,0.8304368,0.356420383726086,1,0.5,101.33542613187119,50.667713065935594,0.08,0,0.0,0.0,1,8,High Risk - Low Value,3,36.11801146696797,580,-4.7832919311981925,False,20.26708522637424,10.13354261318712,-4.5485248566629,False,25.333856532967797,12.666928266483898,-4.133167724792768,False,30.400627839561356,15.200313919780678,580,3,risk_rank_fallback_no_positive_base_profit,A/B test candidate only; not profitable under base assumptions,"No positive expected profit under base scenario; use risk/risk-value ranking for A/B test candidate selection, not auto-targeting.",VEGETABLES - SHELF STABLE,GROCERY,0.3317318168679626,BEEF,MEAT,0.3580404335386208,top_5_filtered_similarity_mean,A_campaign_ready,low,LUNCHMEAT,MEAT-PCKGD,0.3079296178218605,BAKED BREAD/BUNS/ROLLS,GROCERY,0.3602845074558083,top_5_filtered_similarity_mean,,unknown,PORK,MEAT,0.2456371146728559,BEEF,MEAT,0.3058265786268862,top_5_filtered_similarity_mean,,unknown,True,M3_RecSys_personalized_voucher,low
918,1,0.82943845,0.3555891891403414,1,0.47368421052631576,62.13397188468434,29.431881419061003,0.08,0,0.0,0.0,1,9,High Risk - Low Value,4,22.094168680543675,1035,-4.867434987916738,False,12.426794376936869,5.886376283812201,-4.723822891493204,False,15.533492971171086,7.357970354765251,-4.469739951666952,False,18.640191565405303,8.829564425718301,1035,4,risk_rank_fallback_no_positive_base_profit,A/B test candidate only; not profitable under base assumptions,"No positive expected profit under base scenario; use risk/risk-value ranking for A/B test candidate selection, not auto-targeting.",DRY BN/VEG/POTATO/RICE,GROCERY,0.2738456439392192,VEGETABLES - SHELF STABLE,GROCERY,0.3098131037514412,top_5_filtered_similarity_mean,,unknown,APPLES,PRODUCE,0.2539719389867499,TROPICAL FRUIT,PRODUCE,0.3157515828963674,top_5_filtered_similarity_mean,,unknown,HAIR CARE PRODUCTS,DRUG GM,0.1587287165525583,SOAP - LIQUID & BAR,DRUG GM,0.2076627808915452,top_5_filtered_similarity_mean,,unknown,True,M3_RecSys_personalized_voucher,unknown
370,1,0.82857585,0.3548717373536745,1,0.47368421052631576,59.921891393242774,28.38405381785184,0.08,0,0.0,0.0,1,9,High Risk - Low Value,5,21.264585704238257,1081,-4.8724124857745705,False,11.984378278648556,5.676810763570368,-4.734192678697021,False,14.980472848310693,7.09601345446296,-4.489649943098282,False,17.97656741797283,8.515216145355552,1081,5,risk_rank_fallback_no_positive_base_profit,A/B test candidate only; not profitable under base assumptions,"No positive expected profit under base scenario; use risk/risk-value ranking for A/B test candidate selection, not auto-targeting.",TOMATOES,PRODUCE,0.266733281915695,VEGETABLES - ALL OTHERS,PRODUCE,0.2848437197977615,top_5_filtered_similarity_mean,,unknown,FRZN POTATOES,GROCERY,0.2047058526184542,FROZEN PIZZA,GROCERY,0.2140193763716565,top_5_filtered_similarity_mean,,unknown,MEAT - MISC,MEAT-PCKGD,0.2009877190376639,BAKED BREAD/BUNS/ROLLS,GROCERY,0.219924990855053,top_5_filtered_similarity_mean,,unknown,True,M3_RecSys_personalized_voucher,unknown
2092,1,0.8275687,0.3540348910238661,1,0.5,41.8663065562148,20.9331532781074,0.08,0,0.0,0.0,1,10,High Risk - Low Value,6,14.822133279201278,1499,-4.911067200324792,False,8.373261311242961,4.186630655621481,-4.814723334009984,False,10.4665766390537,5.23328831952685,-4.6442688012991695,False,12.55989196686444,6.27994598343222,1499,6,risk_rank_fallback_no_positive_base_profit,A/B test candidate only; not profitable under base assumptions,"No positive expected profit under base scenario; use risk/risk-value ranking for A/B test candidate selection, not auto-targeting.",TROPICAL FRUIT,PRODUCE,0.3336864153292039,FLUID MILK PRODUCTS,GROCERY,0.377251208615489,top_5_filtered_similarity_mean,,unknown,COLD CEREAL,GROCERY,0.3304005559615025,FLUID MILK PRODUCTS,GROCERY,0.4036067148908331,top_5_filtered_similarity_mean,A_campaign_ready,low,HOT DOGS,MEAT-PCKGD,0.2452658155456919,BAKED BREAD/BUNS/ROLLS,GROCERY,0.3003419980271218,top_5_filtered_similarity_mean,,unknown,True,M3_RecSys_personalized_voucher,unknown
1031,1,0.82590586,0.35265516191788915,1,0.47368421052631576,74.01970422287397,35.061965158203456,0.08,0,0.0,0.0,1,9,High Risk - Low Value,7,26.103430777831882,888,-4.8433794153330085,False,14.803940844574795,7.012393031640691,-4.673707115277102,False,18.504926055718492,8.765491289550864,-4.373517661332035,False,22.20591126686219,10.518589547461037,888,7,risk_rank_fallback_no_positive_base_profit,A/B test candidate only; not profitable under base assumptions,"No positive expected profit under base scenario; use risk/risk-value ranking for A/B test candidate selection, not auto-targeting.",PASTA SAUCE,GROCERY,0.3164439990695901,DRY NOODLES/PASTA,GROCERY,0.5010828360778531,top_5_filtered_similarity_mean,,unknown,PEPPERS-ALL,PRODUCE,0.2445098339722407,ONIONS,PRODUCE,0.3075117366367512,top_5_filtered_similarity_mean,,unknown,FROZEN MEAT,MEAT-PCKGD,0.2066536386460709,FROZEN PIZZA,GROCERY,0.2228097770077094,top_5_filtered_similarity_mean,,unknown,True,M3_RecSys_personalized_voucher,unknown
2493,1,0.82590586,0.35265516191788915,1,0.47368421052631576,56.10039882215965,26.57387312628615,0.08,0,0.0,0.0,1,10,High Risk - Low Value,8,19.78409523028687,1191,-4.881295428618278,False,11.22007976443193,5.31477462525723,-4.752698809621414,False,14.025099705539912,6.643468281571537,-4.525181714473115,False,16.830119646647894,7.972161937885844,1191,8,risk_rank_fallback_no_positive_base_profit,A/B test candidate only; not profitable under base assumptions,"No positive expected profit under base scenario; use risk/risk-value ranking for A/B test candidate selection, not auto-targeting.",PASTA SAUCE,GROCERY,0.3199410163759696,DRY NOODLES/PASTA,GROCERY,0.5010828360778531,top_5_filtered_similarity_mean,,unknown,VEGETABLES - ALL OTHERS,PRODUCE,0.2658723770218125,ONIONS,PRODUCE,0.2955328305042752,top_5_filtered_similarity_mean,,unknown,ORAL HYGIENE PRODUCTS,DRUG GM,0.1481578572328381,FLUID MILK PRODUCTS,GROCERY,0.1569102796318631,top_5_filtered_similarity_mean,,unknown,True,M3_RecSys_personalized_voucher,unknown
93,1,0.82020867,0.34794670234208547,1,0.47368421052631576,111.6881494801044,52.904912911628394,0.08,0,0.0,0.0,1,8,High Risk - Low Value,9,38.861523302292234,536,-4.766830860186246,False,22.337629896020882,10.58098258232568,-4.514230958721347,False,27.9220373700261,13.226228227907098,-4.067323440744986,False,33.50644484403132,15.871473873488517,536,9,risk_rank_fallback_no_positive_base_profit,A/B test candidate only; not profitable under base assumptions,"No positive expected profit under base scenario; use risk/risk-value ranking for A/B test candidate selection, not auto-targeting.",BEEF,MEAT,0.3581789476862284,BAKED BREAD/BUNS/ROLLS,GROCERY,0.3997660674090124,top_5_filtered_similarity_mean,A_campaign_ready,low,MEAT - SHELF STABLE,GROCERY,0.2832027413111386,DINNER MXS:DRY,GROCERY,0.3028661333919106,top_5_filtered_similarity_mean,,unknown,CHEESES,DELI,0.2756888968181451,DELI MEATS,DELI,0.5124038182012465,top_5_filtered_similarity_mean,,unknown,True,M3_RecSys_personalized_voucher,low
2066,0,0.81672525,0.34508232548981904,1,0.7916666666666666,25.162189495514284,19.920066683948807,0.08,1,4.13,4.07894002472128,1,10,High Risk - Low Value,10,8.683026865527566,2020,-4.9479018388068345,False,5.032437899102857,3.9840133367897614,-4.891462164180905,False,6.290547373878571,4.980016670987202,-4.791607355227338,False,7.548656848654285,5.976020005184642,2020,10,risk_rank_fallback_no_positive_base_profit,A/B test candidate only; not profitable under base assumptions,"No positive expected profit under base scenario; use risk/risk-value ranking for A/B test candidate selection, not auto-targeting.",VEGETABLES - SHELF STABLE,GROCERY,0.3317318168679626,BEEF,MEAT,0.3580404335386208,top_5_filtered_similarity_mean,A_campaign_ready,low,APPLES,PRODUCE,0.2522396962151765,TROPICAL FRUIT,PRODUCE,0.3157515828963674,top_5_filtered_similarity_mean,,unknown,BACON,MEAT-PCKGD,0.2488796177918003,EGGS,GROCERY,0.2782867893324901,top_5_filtered_similarity_mean,,unknown,True,M3_RecSys_personalized_voucher,low
