model,rank_test_score,mean_cv_PR_AUC,std_cv_PR_AUC,params
Logistic Regression balanced,1,0.31552345509420837,0.044709227162394415,"{""model__C"": 0.005}"
Logistic Regression balanced,2,0.31436541168224424,0.0432268528970652,"{""model__C"": 0.05}"
Logistic Regression balanced,3,0.3133731535190845,0.04347525382519263,"{""model__C"": 0.01}"
Logistic Regression balanced,4,0.3122934603884252,0.04591316820869468,"{""model__C"": 0.03}"
Logistic Regression balanced,5,0.30836345554984024,0.03551175658524195,"{""model__C"": 0.1}"
Logistic Regression balanced,6,0.2935973091849848,0.022150439177352578,"{""model__C"": 0.3}"
Logistic Regression balanced,7,0.28431745842926653,0.01577273732984338,"{""model__C"": 0.5}"
Logistic Regression balanced,8,0.27218454054995866,0.014718129861472615,"{""model__C"": 1.0}"
Logistic Regression balanced,9,0.2592703129101413,0.01821344672678137,"{""model__C"": 2.0}"
Logistic Regression balanced,10,0.25385177246406365,0.021283252286557967,"{""model__C"": 3.0}"
Random Forest balanced,1,0.3666189717670719,0.06683276667071138,"{""model__max_depth"": null, ""model__max_features"": null, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}"
Random Forest balanced,2,0.36336011275465746,0.06984608450955353,"{""model__max_depth"": 10, ""model__max_features"": null, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 500}"
Random Forest balanced,3,0.35775596365700013,0.07424095855047594,"{""model__max_depth"": null, ""model__max_features"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}"
Random Forest balanced,4,0.3576341381446264,0.06976985913657335,"{""model__max_depth"": 5, ""model__max_features"": null, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 500}"
Random Forest balanced,5,0.35654310213849827,0.05624262073521394,"{""model__max_depth"": null, ""model__max_features"": null, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 200}"
Random Forest balanced,6,0.3511804678682334,0.07760563480267763,"{""model__max_depth"": 5, ""model__max_features"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 500}"
Random Forest balanced,7,0.34930837394436753,0.0664358875065275,"{""model__max_depth"": 5, ""model__max_features"": null, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 500}"
Random Forest balanced,8,0.3476017522150602,0.06740690012901665,"{""model__max_depth"": 5, ""model__max_features"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}"
Random Forest balanced,9,0.34738913670108484,0.06267053770962788,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 200}"
Random Forest balanced,10,0.347135623365434,0.07490689620859972,"{""model__max_depth"": null, ""model__max_features"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}"
Random Forest balanced,11,0.34374145443517473,0.063707831640597,"{""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}"
Random Forest balanced,12,0.34290342651126804,0.06302252684425363,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 500}"
Random Forest balanced,13,0.3425016886900887,0.06294348593072698,"{""model__max_depth"": 10, ""model__max_features"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}"
Random Forest balanced,14,0.3408570448469753,0.06674320094166185,"{""model__max_depth"": 5, ""model__max_features"": null, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 200}"
Random Forest balanced,15,0.3397659436678146,0.07225036674200369,"{""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 500}"
Random Forest balanced,16,0.33927350978318305,0.06036919279765705,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}"
