scenario,expected_profit_column,selection_rule,selected_customer_count,selected_customer_share,baseline_churn_rate,selected_churn_rate,lift_vs_baseline,total_expected_incremental_profit,mean_expected_incremental_profit,min_expected_incremental_profit,max_expected_incremental_profit,min_p_churn_calibrated,mean_p_churn_calibrated,max_p_churn_calibrated
conservative,expected_incremental_profit_conservative,profit_positive,0,0.0,0.1208483393357343,,,0.0,,,,,,
conservative,expected_incremental_profit_conservative,top_5pct_by_expected_profit,125,0.05002000800320128,0.1208483393357343,0.096,0.7943841059602649,-562.7619750146149,-4.502095800116919,-4.647367651930548,-3.00144991896446,0.04225352112676056,0.15693234726328117,0.6666666666666666
conservative,expected_incremental_profit_conservative,top_10pct_by_expected_profit,250,0.10004001600640255,0.1208483393357343,0.124,1.0260794701986755,-1148.7285476127104,-4.594914190450842,-4.721138722831247,-3.00144991896446,0.04225352112676056,0.1601131726792412,0.6666666666666666
conservative,expected_incremental_profit_conservative,top_20pct_by_expected_profit,500,0.2000800320128051,0.1208483393357343,0.136,1.1253774834437087,-2340.5963302187333,-4.681192660437467,-4.801369548094567,-3.00144991896446,0.04225352112676056,0.1697255433654447,1.0
base,expected_incremental_profit_base,profit_positive,0,0.0,0.1208483393357343,,,0.0,,,,,,
base,expected_incremental_profit_base,top_5pct_by_expected_profit,125,0.05002000800320128,0.1208483393357343,0.096,0.7943841059602649,-495.33744794711436,-3.962699583576915,-4.265349274855308,-0.8363539978426253,0.04225352112676056,0.15693234726328117,0.6666666666666666
base,expected_incremental_profit_base,top_10pct_by_expected_profit,250,0.10004001600640255,0.1208483393357343,0.124,1.0260794701986755,-1039.0178075264798,-4.156071230105919,-4.419039005898433,-0.8363539978426253,0.04225352112676056,0.1601131726792412,0.6666666666666666
base,expected_incremental_profit_base,top_20pct_by_expected_profit,500,0.2000800320128051,0.1208483393357343,0.136,1.1253774834437087,-2167.909021289028,-4.3358180425780555,-4.586186558530349,-0.8363539978426253,0.04225352112676056,0.1697255433654447,1.0
optimistic,expected_incremental_profit_optimistic,profit_positive,3,0.0012004801920768306,0.1208483393357343,0.0,0.0,4.51215043797802,1.5040501459926734,0.10248003869649036,2.9942003241421586,0.21052631578947367,0.3351327035537562,0.46153846153846156
optimistic,expected_incremental_profit_optimistic,top_5pct_by_expected_profit,125,0.05002000800320128,0.1208483393357343,0.096,0.7943841059602649,-376.0479000584598,-3.0083832004676783,-3.589470607722191,2.9942003241421586,0.04225352112676056,0.15693234726328117,0.6666666666666666
optimistic,expected_incremental_profit_optimistic,top_10pct_by_expected_profit,250,0.10004001600640255,0.1208483393357343,0.124,1.0260794701986755,-844.9141904508411,-3.3796567618033646,-3.8845548913249903,2.9942003241421586,0.04225352112676056,0.1601131726792412,0.6666666666666666
optimistic,expected_incremental_profit_optimistic,top_20pct_by_expected_profit,500,0.2000800320128051,0.1208483393357343,0.136,1.1253774834437087,-1862.385320874933,-3.724770641749866,-4.205478192378269,2.9942003241421586,0.04225352112676056,0.1697255433654447,1.0
