household_key,is_treated,treatment_source,treatment_cutoff_day
1,1,Heavy_Promo_User,651
10,0,Light/No_Promo_User,651
100,1,Heavy_Promo_User,651
1000,0,Light/No_Promo_User,651
1001,0,Light/No_Promo_User,651
1002,0,Light/No_Promo_User,651
1003,0,Light/No_Promo_User,651
1004,0,Light/No_Promo_User,651
1005,0,Light/No_Promo_User,651
1006,1,Heavy_Promo_User,651
1007,0,Light/No_Promo_User,651
1008,0,Light/No_Promo_User,651
1009,0,Light/No_Promo_User,651
101,1,Heavy_Promo_User,651
1010,0,Light/No_Promo_User,651
1011,1,Heavy_Promo_User,651
1012,0,Light/No_Promo_User,651
1013,0,Light/No_Promo_User,651
1014,0,Light/No_Promo_User,651
1015,1,Heavy_Promo_User,651
1016,0,Light/No_Promo_User,651
1017,1,Heavy_Promo_User,651
1018,1,Heavy_Promo_User,651
1019,0,Light/No_Promo_User,651
102,1,Heavy_Promo_User,651
1020,0,Light/No_Promo_User,651
1021,0,Light/No_Promo_User,651
1022,0,Light/No_Promo_User,651
1023,1,Heavy_Promo_User,651
1024,1,Heavy_Promo_User,651
1025,0,Light/No_Promo_User,651
1026,0,Light/No_Promo_User,651
1027,1,Heavy_Promo_User,651
1028,1,Heavy_Promo_User,651
1029,1,Heavy_Promo_User,651
103,0,Light/No_Promo_User,651
1030,0,Light/No_Promo_User,651
1031,0,Light/No_Promo_User,651
1032,1,Heavy_Promo_User,651
1033,1,Heavy_Promo_User,651
1034,0,Light/No_Promo_User,651
1035,0,Light/No_Promo_User,651
1036,0,Light/No_Promo_User,651
1037,0,Light/No_Promo_User,651
1038,0,Light/No_Promo_User,651
1039,1,Heavy_Promo_User,651
104,1,Heavy_Promo_User,651
1040,0,Light/No_Promo_User,651
1041,0,Light/No_Promo_User,651
1042,0,Light/No_Promo_User,651
1043,0,Light/No_Promo_User,651
1044,1,Heavy_Promo_User,651
1045,0,Light/No_Promo_User,651
1046,0,Light/No_Promo_User,651
1047,1,Heavy_Promo_User,651
1048,1,Heavy_Promo_User,651
1049,0,Light/No_Promo_User,651
105,1,Heavy_Promo_User,651
1050,0,Light/No_Promo_User,651
1051,0,Light/No_Promo_User,651
1052,1,Heavy_Promo_User,651
1053,0,Light/No_Promo_User,651
1054,0,Light/No_Promo_User,651
1055,0,Light/No_Promo_User,651
1056,0,Light/No_Promo_User,651
1057,0,Light/No_Promo_User,651
1058,0,Light/No_Promo_User,651
1059,0,Light/No_Promo_User,651
106,0,Light/No_Promo_User,651
1060,0,Light/No_Promo_User,651
1061,0,Light/No_Promo_User,651
1062,0,Light/No_Promo_User,651
1063,0,Light/No_Promo_User,651
1064,1,Heavy_Promo_User,651
1065,1,Heavy_Promo_User,651
1066,1,Heavy_Promo_User,651
1067,0,Light/No_Promo_User,651
1068,0,Light/No_Promo_User,651
1069,0,Light/No_Promo_User,651
107,0,Light/No_Promo_User,651
1070,0,Light/No_Promo_User,651
1071,0,Light/No_Promo_User,651
1072,0,Light/No_Promo_User,651
1073,0,Light/No_Promo_User,651
1074,1,Heavy_Promo_User,651
1075,1,Heavy_Promo_User,651
1076,0,Light/No_Promo_User,651
1077,0,Light/No_Promo_User,651
1078,1,Heavy_Promo_User,651
1079,0,Light/No_Promo_User,651
108,0,Light/No_Promo_User,651
1080,0,Light/No_Promo_User,651
1081,0,Light/No_Promo_User,651
1082,0,Light/No_Promo_User,651
1083,1,Heavy_Promo_User,651
1084,0,Light/No_Promo_User,651
1085,0,Light/No_Promo_User,651
1086,1,Heavy_Promo_User,651
1087,1,Heavy_Promo_User,651
1088,0,Light/No_Promo_User,651
1089,0,Light/No_Promo_User,651
109,0,Light/No_Promo_User,651
1090,0,Light/No_Promo_User,651
1091,0,Light/No_Promo_User,651
1092,0,Light/No_Promo_User,651
1093,0,Light/No_Promo_User,651
1094,1,Heavy_Promo_User,651
1095,0,Light/No_Promo_User,651
1096,0,Light/No_Promo_User,651
