ranking_score,ranking_decile,customer_count,churn_count,churn_rate,min_score,mean_score,max_score,baseline_churn_rate,lift_vs_baseline,cumulative_customers,cumulative_churn,cumulative_precision,cumulative_recall
p_churn_calibrated,1,250,122,0.488,0.23076923191547394,0.4863608105182648,1.0,0.1208483393357343,4.038119205298013,250,122,0.488,0.40397350993377484
p_churn_calibrated,2,250,49,0.196,0.1515151560306549,0.1993498963713646,0.23076923191547394,0.1208483393357343,1.6218675496688741,500,171,0.342,0.5662251655629139
p_churn_calibrated,3,250,40,0.16,0.08870967477560043,0.1460480931699276,0.1515151560306549,0.1208483393357343,1.3239735099337748,750,211,0.2813333333333333,0.6986754966887417
p_churn_calibrated,4,250,21,0.084,0.08870967477560043,0.08870967477560043,0.08870967477560043,0.1208483393357343,0.6950860927152318,1000,232,0.232,0.7682119205298014
p_churn_calibrated,5,250,18,0.072,0.08870967477560043,0.08870967477560043,0.08870967477560043,0.1208483393357343,0.5957880794701986,1250,250,0.2,0.8278145695364238
p_churn_calibrated,6,249,24,0.0963855421686747,0.08870967477560043,0.08870967477560043,0.08870967477560043,0.1208483393357343,0.7975744035745631,1499,274,0.1827885256837892,0.9072847682119205
p_churn_calibrated,7,250,13,0.052,0.08870967477560043,0.08870967477560043,0.08870967477560043,0.1208483393357343,0.4302913907284768,1749,287,0.16409376786735277,0.9503311258278145
p_churn_calibrated,8,250,10,0.04,0.05000000074505806,0.079222097620368,0.08870967477560043,0.1208483393357343,0.3309933774834437,1999,297,0.1485742871435718,0.9834437086092715
p_churn_calibrated,9,250,5,0.02,0.0,0.014972785049583763,0.05000000074505806,0.1208483393357343,0.16549668874172185,2249,302,0.13428190306803023,1.0
p_churn_calibrated,10,250,0,0.0,0.0,0.0,0.0,0.1208483393357343,0.0,2499,302,0.1208483393357343,1.0
risk_value_score,1,250,39,0.156,48.224814667446616,70.74725308086721,216.82827647488577,0.1208483393357343,1.2908741721854304,250,39,0.156,0.1291390728476821
risk_value_score,2,250,34,0.136,35.53560443604848,41.46093354541475,48.12752051773346,0.1208483393357343,1.1253774834437087,500,73,0.146,0.24172185430463577
risk_value_score,3,250,31,0.124,27.273698383689393,31.102953053009912,35.49428754579542,0.1208483393357343,1.0260794701986755,750,104,0.13866666666666666,0.3443708609271523
risk_value_score,4,250,41,0.164,21.39851964448567,24.11479742590024,27.23998400301382,0.1208483393357343,1.3570728476821192,1000,145,0.145,0.48013245033112584
risk_value_score,5,250,46,0.184,17.070863248098576,19.186996437271077,21.39548406094611,0.1208483393357343,1.522569536423841,1250,191,0.1528,0.6324503311258278
risk_value_score,6,249,43,0.17269076305220885,13.342501303683747,15.215613787400201,17.038771230876375,0.1208483393357343,1.4289874730710923,1499,234,0.1561040693795864,0.7748344370860927
risk_value_score,7,250,37,0.148,9.13789770827451,11.24967407357184,13.32066156933717,0.1208483393357343,1.2246754966887416,1749,271,0.15494568324757005,0.8973509933774835
risk_value_score,8,250,24,0.096,3.922189842433755,6.762007110070186,9.09701087752958,0.1208483393357343,0.7943841059602649,1999,295,0.14757378689344672,0.9768211920529801
risk_value_score,9,250,7,0.028,0.0,0.8432151533980259,3.8801963313846484,0.1208483393357343,0.23169536423841058,2249,302,0.13428190306803023,1.0
risk_value_score,10,250,0,0.0,0.0,0.0,0.0,0.1208483393357343,0.0,2499,302,0.1208483393357343,1.0
expected_incremental_profit_base,1,250,39,0.156,-4.397189803999657,-4.115659319472411,-2.289646503676514,0.1208483393357343,1.2908741721854304,250,39,0.156,0.1291390728476821
expected_incremental_profit_base,2,250,34,0.136,-4.55580493522259,-4.481738319437665,-4.398405980896607,0.1208483393357343,1.1253774834437087,500,73,0.146,0.24172185430463577
expected_incremental_profit_base,3,250,31,0.124,-4.659078763045528,-4.611213078791592,-4.556321396361597,0.1208483393357343,1.0260794701986755,750,104,0.13866666666666666,0.3443708609271523
expected_incremental_profit_base,4,250,41,0.164,-4.732518504443929,-4.698565026073776,-4.659500192812822,0.1208483393357343,1.3570728476821192,1000,145,0.145,0.48013245033112584
expected_incremental_profit_base,5,250,46,0.184,-4.786614204918287,-4.760162539392403,-4.732556443622637,0.1208483393357343,1.522569536423841,1250,191,0.1528,0.6324503311258278
expected_incremental_profit_base,6,249,43,0.17269076305220885,-4.833218727135834,-4.809804823722501,-4.787015355141987,0.1208483393357343,1.4289874730710923,1499,234,0.1561040693795864,0.7748344370860927
expected_incremental_profit_base,7,250,37,0.148,-4.885776276248203,-4.859379071112811,-4.833491723825917,0.1208483393357343,1.2246754966887416,1749,271,0.15494568324757005,0.8973509933774835
expected_incremental_profit_base,8,250,24,0.096,-4.950972625940146,-4.915474909460514,-4.886287357676691,0.1208483393357343,0.7943841059602649,1999,295,0.14757378689344672,0.9768211920529801
expected_incremental_profit_base,9,250,7,0.028,-5.0,-4.989459810270836,-4.951497543147406,0.1208483393357343,0.23169536423841058,2249,302,0.13428190306803023,1.0
expected_incremental_profit_base,10,250,0,0.0,-5.0,-5.0,-5.0,0.1208483393357343,0.0,2499,302,0.1208483393357343,1.0
