feature,importance,business_interpretation,causality_warning
Inactive_Days_Ratio,0.118036784,Recent inactivity or time since engagement; usually linked with churn risk.,Predictive association only; causal effect requires A/B testing.
Recency_Capped,0.10285895,Recent inactivity or time since engagement; usually linked with churn risk.,Predictive association only; causal effect requires A/B testing.
Rolling_Freq_Slope,0.07706249,Purchase frequency / activity intensity.,Predictive association only; causal effect requires A/B testing.
IPT_std,0.05434535,Predictive association used by the model; not a causal claim.,Predictive association only; causal effect requires A/B testing.
active_weeks_ratio,0.053650383,Predictive association used by the model; not a causal claim.,Predictive association only; causal effect requires A/B testing.
Total_Campaigns_Received,0.050367393,"Promotion, coupon, or campaign responsiveness.",Predictive association only; causal effect requires A/B testing.
coupon_dependency,0.047131673,"Promotion, coupon, or campaign responsiveness.",Predictive association only; causal effect requires A/B testing.
Camp_Count_TypeB,0.046448972,Predictive association used by the model; not a causal claim.,Predictive association only; causal effect requires A/B testing.
Avg_Items_Per_Basket,0.043149285,Customer spending level or basket value.,Predictive association only; causal effect requires A/B testing.
Frequency,0.04268268,Purchase frequency / activity intensity.,Predictive association only; causal effect requires A/B testing.
Days_Since_Last_Camp,0.042028226,Recent inactivity or time since engagement; usually linked with churn risk.,Predictive association only; causal effect requires A/B testing.
Mailer_Responsiveness,0.040650487,Predictive association used by the model; not a causal claim.,Predictive association only; causal effect requires A/B testing.
Basket_Value_Std,0.039289106,Customer spending level or basket value.,Predictive association only; causal effect requires A/B testing.
IPT_mean,0.037787247,Predictive association used by the model; not a causal claim.,Predictive association only; causal effect requires A/B testing.
IPT_CV,0.03586784,Predictive association used by the model; not a causal claim.,Predictive association only; causal effect requires A/B testing.
Camp_Count_TypeA,0.034763485,Predictive association used by the model; not a causal claim.,Predictive association only; causal effect requires A/B testing.
promo_usage_ratio,0.03192137,"Promotion, coupon, or campaign responsiveness.",Predictive association only; causal effect requires A/B testing.
Monetary,0.03123953,Customer spending level or basket value.,Predictive association only; causal effect requires A/B testing.
Private_Brand_Ratio,0.028642762,Brand preference pattern.,Predictive association only; causal effect requires A/B testing.
Display_Responsiveness,0.02620948,Predictive association used by the model; not a causal claim.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_356,0.01586646,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
customer_lifetime,0.0,Predictive association used by the model; not a causal claim.,Predictive association only; causal effect requires A/B testing.
Campaigns_Last_30D,0.0,"Promotion, coupon, or campaign responsiveness.",Predictive association only; causal effect requires A/B testing.
has_demographic_info,0.0,Predictive association used by the model; not a causal claim.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_176,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Camp_Count_TypeC,0.0,Predictive association used by the model; not a causal claim.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_286,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_2863,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_288,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_2882,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_2888,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_289,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_292,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_2817,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
