scenario,expected_profit_column,selection_rule,selected_customer_count,selected_customer_share,baseline_churn_rate,selected_churn_rate,lift_vs_baseline,total_expected_incremental_profit,mean_expected_incremental_profit,min_expected_incremental_profit,max_expected_incremental_profit,min_p_churn_calibrated,mean_p_churn_calibrated,max_p_churn_calibrated
conservative,expected_incremental_profit_conservative,profit_positive,0,0.0,0.1208483393357343,,,0.0,,,,,,
conservative,expected_incremental_profit_conservative,top_5pct_by_expected_profit,125,0.05002000800320128,0.1208483393357343,0.096,0.7943841059602649,-563.9407222093093,-4.511525777674475,-4.651675157856646,-2.8867181457410855,0.05,0.15725515773903245,0.6666666666666666
conservative,expected_incremental_profit_conservative,top_10pct_by_expected_profit,250,0.10004001600640255,0.1208483393357343,0.112,0.9267814569536423,-1149.328481638641,-4.597313926554564,-4.714543391050623,-2.8867181457410855,0.05,0.15861572414335587,0.6666666666666666
conservative,expected_incremental_profit_conservative,top_20pct_by_expected_profit,500,0.2000800320128051,0.1208483393357343,0.14,1.158476821192053,-2341.042280332277,-4.6820845606645545,-4.8063563418892405,-2.8867181457410855,0.05,0.17264429769485581,1.0
base,expected_incremental_profit_base,profit_positive,0,0.0,0.1208483393357343,,,0.0,,,,,,
base,expected_incremental_profit_base,top_5pct_by_expected_profit,125,0.05002000800320128,0.1208483393357343,0.096,0.7943841059602649,-497.7931712693948,-3.9823453701551585,-4.27432324553468,-0.5973294702939285,0.05,0.15725515773903245,0.6666666666666666
base,expected_incremental_profit_base,top_10pct_by_expected_profit,250,0.10004001600640255,0.1208483393357343,0.112,0.9267814569536423,-1040.2676700805023,-4.161070680322009,-4.405298731355464,-0.5973294702939285,0.05,0.15861572414335587,0.6666666666666666
base,expected_incremental_profit_base,top_20pct_by_expected_profit,500,0.2000800320128051,0.1208483393357343,0.14,1.158476821192053,-2168.8380840255777,-4.337676168051155,-4.596575712269251,-0.5973294702939285,0.05,0.17264429769485581,1.0
optimistic,expected_incremental_profit_optimistic,profit_positive,6,0.0024009603841536613,0.1208483393357343,0.0,0.0,11.009974256218104,1.834995709369684,0.08413746296597191,5.453127417035656,0.11180124223602485,0.35042498422293816,0.5454545454545454
optimistic,expected_incremental_profit_optimistic,top_5pct_by_expected_profit,125,0.05002000800320128,0.1208483393357343,0.096,0.7943841059602649,-130.762888837238,-1.046103110697904,-1.6067006314265848,5.453127417035656,0.05,0.15725515773903245,0.6666666666666666
optimistic,expected_incremental_profit_optimistic,top_10pct_by_expected_profit,250,0.10004001600640255,0.1208483393357343,0.112,0.9267814569536423,-347.313926554564,-1.389255706218256,-1.8581735642024917,5.453127417035656,0.05,0.15861572414335587,0.6666666666666666
optimistic,expected_incremental_profit_optimistic,top_20pct_by_expected_profit,500,0.2000800320128051,0.1208483393357343,0.14,1.158476821192053,-864.1691213291093,-1.7283382426582186,-2.225425367556962,5.453127417035656,0.05,0.17264429769485581,1.0
