feature,mean_abs_shap,business_interpretation,causality_warning
Recency_Capped,0.34925859710903845,Recent inactivity or time since engagement; usually linked with churn risk.,"SHAP explains prediction contribution, not causal treatment effect."
Inactive_Days_Ratio,0.10975593080533212,Recent inactivity or time since engagement; usually linked with churn risk.,"SHAP explains prediction contribution, not causal treatment effect."
Camp_Count_TypeA,0.09875140425396572,Predictive association used by the model; not a causal claim.,"SHAP explains prediction contribution, not causal treatment effect."
Campaigns_Last_30D,0.08226402817259261,"Promotion, coupon, or campaign responsiveness.","SHAP explains prediction contribution, not causal treatment effect."
Mailer_Responsiveness,0.07129070712648301,Predictive association used by the model; not a causal claim.,"SHAP explains prediction contribution, not causal treatment effect."
Rolling_Freq_Slope,0.058417393064651754,Purchase frequency / activity intensity.,"SHAP explains prediction contribution, not causal treatment effect."
active_weeks_ratio,0.0536344609860321,Predictive association used by the model; not a causal claim.,"SHAP explains prediction contribution, not causal treatment effect."
IPT_std,0.05071524176569348,Predictive association used by the model; not a causal claim.,"SHAP explains prediction contribution, not causal treatment effect."
Days_Since_Last_Camp,0.05003260612397964,Recent inactivity or time since engagement; usually linked with churn risk.,"SHAP explains prediction contribution, not causal treatment effect."
Avg_Items_Per_Basket,0.04314597104392453,Customer spending level or basket value.,"SHAP explains prediction contribution, not causal treatment effect."
Total_Campaigns_Received,0.04255589609873173,"Promotion, coupon, or campaign responsiveness.","SHAP explains prediction contribution, not causal treatment effect."
Monetary,0.03329379354150196,Customer spending level or basket value.,"SHAP explains prediction contribution, not causal treatment effect."
Frequency,0.029064491177169034,Purchase frequency / activity intensity.,"SHAP explains prediction contribution, not causal treatment effect."
Display_Responsiveness,0.021219219403787973,Predictive association used by the model; not a causal claim.,"SHAP explains prediction contribution, not causal treatment effect."
Discount_Per_Transaction,0.019279659872819467,Predictive association used by the model; not a causal claim.,"SHAP explains prediction contribution, not causal treatment effect."
IPT_mean,0.019089821832922273,Predictive association used by the model; not a causal claim.,"SHAP explains prediction contribution, not causal treatment effect."
Basket_Value_Std,0.015887960332434156,Customer spending level or basket value.,"SHAP explains prediction contribution, not causal treatment effect."
customer_lifetime,0.01285376483775097,Predictive association used by the model; not a causal claim.,"SHAP explains prediction contribution, not causal treatment effect."
promo_usage_ratio,0.010591930998331655,"Promotion, coupon, or campaign responsiveness.","SHAP explains prediction contribution, not causal treatment effect."
Private_Brand_Ratio,0.0093224764692459,Brand preference pattern.,"SHAP explains prediction contribution, not causal treatment effect."
Camp_Count_TypeB,0.008716870108593195,Predictive association used by the model; not a causal claim.,"SHAP explains prediction contribution, not causal treatment effect."
IPT_CV,0.005532979912600338,Predictive association used by the model; not a causal claim.,"SHAP explains prediction contribution, not causal treatment effect."
has_demographic_info,0.005395035327834998,Predictive association used by the model; not a causal claim.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_446,0.0007253513448125723,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_450,0.0005545586752307262,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_382,0.0005345207364758261,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_298,0.0005307547350804984,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_32004,0.0004967128342764911,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_439,0.00046039813831790253,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_429,0.00040789234536941555,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_424,0.0004052870309403162,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_321,0.00039948423732701207,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_381,0.0003879936706780147,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_433,0.00038115298704587065,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_335,0.0003618304101221553,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_364,0.000361456949948117,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_289,0.00035772069705176165,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_330,0.000350391781227656,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_374,0.0003409529580366513,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_402,0.00033755264239555794,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_368,0.0003271891379331344,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_367,0.000325749326452588,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
