scenario,scenario_type,gross_margin,save_rate_given_treatment,treatment_cost,profitable_customer_count,profitable_customer_share,total_expected_incremental_profit_if_target_positive_only,top_30pct_risk_customer_count,total_expected_incremental_profit_if_target_top_30pct_risk
m0.20_s0.03_c1.0,sensitivity,0.2,0.03,1.0,2,0.0008003201280512205,0.5283233405869396,750,-628.502073748358
m0.20_s0.03_c2.0,sensitivity,0.2,0.03,2.0,0,0.0,0.0,750,-1378.5020737483578
m0.20_s0.03_c3.0,sensitivity,0.2,0.03,3.0,0,0.0,0.0,750,-2128.5020737483583
m0.20_s0.03_c5.0,sensitivity,0.2,0.03,5.0,0,0.0,0.0,750,-3628.502073748358
m0.20_s0.03_c8.0,sensitivity,0.2,0.03,8.0,0,0.0,0.0,750,-5878.502073748358
m0.20_s0.05_c1.0,sensitivity,0.2,0.05,1.0,26,0.010404161664665866,5.946478998330676,750,-547.5034457030058
m0.20_s0.05_c2.0,sensitivity,0.2,0.05,2.0,2,0.0008003201280512205,0.2138724251590549,750,-1297.5034457030058
m0.20_s0.05_c3.0,sensitivity,0.2,0.05,3.0,0,0.0,0.0,750,-2047.5034457030058
m0.20_s0.05_c5.0,sensitivity,0.2,0.05,5.0,0,0.0,0.0,750,-3547.503445703006
m0.20_s0.05_c8.0,sensitivity,0.2,0.05,8.0,0,0.0,0.0,750,-5797.503445703007
m0.20_s0.08_c1.0,sensitivity,0.2,0.08,1.0,129,0.05162064825930372,47.86364490452719,750,-426.0055185792894
m0.20_s0.08_c2.0,sensitivity,0.2,0.08,2.0,6,0.0024009603841536613,3.9367502215461974,750,-1176.0055185792894
m0.20_s0.08_c3.0,sensitivity,0.2,0.08,3.0,2,0.0008003201280512205,0.7421956849711675,750,-1926.0055185792894
m0.20_s0.08_c5.0,sensitivity,0.2,0.08,5.0,0,0.0,0.0,750,-3426.0055185792894
m0.20_s0.08_c8.0,sensitivity,0.2,0.08,8.0,0,0.0,0.0,750,-5676.00551857929
m0.20_s0.10_c1.0,sensitivity,0.2,0.1,1.0,232,0.09283713485394157,104.08075584949722,750,-345.0068914060116
m0.20_s0.10_c2.0,sensitivity,0.2,0.1,2.0,26,0.010404161664665866,11.892957996661352,750,-1095.0068914060116
m0.20_s0.10_c3.0,sensitivity,0.2,0.1,3.0,3,0.0012004801920768306,2.4879444596767804,750,-1845.0068914060116
m0.20_s0.10_c5.0,sensitivity,0.2,0.1,5.0,0,0.0,0.0,750,-3345.0068914060116
m0.20_s0.10_c8.0,sensitivity,0.2,0.1,8.0,0,0.0,0.0,750,-5595.006891406011
m0.20_s0.15_c1.0,sensitivity,0.2,0.15,1.0,556,0.2224889955982393,343.412325093874,750,-142.51033023771984
m0.20_s0.15_c2.0,sensitivity,0.2,0.15,2.0,103,0.041216486594637856,75.49543521998729,750,-892.5103302377199
m0.20_s0.15_c3.0,sensitivity,0.2,0.15,3.0,26,0.010404161664665866,17.839439316783185,750,-1642.5103302377202
m0.20_s0.15_c5.0,sensitivity,0.2,0.15,5.0,2,0.0008003201280512205,2.6416176021358133,750,-3142.5103302377197
m0.20_s0.15_c8.0,sensitivity,0.2,0.15,8.0,0,0.0,0.0,750,-5392.510330237719
m0.20_s0.20_c1.0,sensitivity,0.2,0.2,1.0,832,0.3329331732693077,686.9046568643109,750,59.98621718797672
m0.20_s0.20_c2.0,sensitivity,0.2,0.2,2.0,232,0.09283713485394157,208.16151169899445,750,-690.0137828120232
m0.20_s0.20_c3.0,sensitivity,0.2,0.2,3.0,76,0.03041216486594638,71.23414664142561,750,-1440.0137828120232
m0.20_s0.20_c5.0,sensitivity,0.2,0.2,5.0,6,0.0024009603841536613,9.841876332511603,750,-2940.0137828120232
m0.20_s0.20_c8.0,sensitivity,0.2,0.2,8.0,2,0.0008003201280512205,0.8554897006362197,750,-5190.013782812023
m0.25_s0.03_c1.0,sensitivity,0.25,0.03,1.0,5,0.0020008003201280513,1.5057090842449279,750,-598.1275921854474
m0.25_s0.03_c2.0,sensitivity,0.25,0.03,2.0,0,0.0,0.0,750,-1348.1275921854474
m0.25_s0.03_c3.0,sensitivity,0.25,0.03,3.0,0,0.0,0.0,750,-2098.1275921854476
m0.25_s0.03_c5.0,sensitivity,0.25,0.03,5.0,0,0.0,0.0,750,-3598.1275921854476
m0.25_s0.03_c8.0,sensitivity,0.25,0.03,8.0,0,0.0,0.0,750,-5848.127592185447
m0.25_s0.05_c1.0,sensitivity,0.25,0.05,1.0,63,0.025210084033613446,17.873935220455266,750,-496.8793071287573
m0.25_s0.05_c2.0,sensitivity,0.25,0.05,2.0,2,0.0008003201280512205,1.2673405314488186,750,-1246.8793071287573
m0.25_s0.05_c3.0,sensitivity,0.25,0.05,3.0,0,0.0,0.0,750,-1996.8793071287573
m0.25_s0.05_c5.0,sensitivity,0.25,0.05,5.0,0,0.0,0.0,750,-3496.8793071287573
m0.25_s0.05_c8.0,sensitivity,0.25,0.05,8.0,0,0.0,0.0,750,-5746.879307128757
m0.25_s0.08_c1.0,sensitivity,0.25,0.08,1.0,232,0.09283713485394157,104.0807481454123,750,-345.00689822411175
m0.25_s0.08_c2.0,sensitivity,0.25,0.08,2.0,26,0.010404161664665866,11.892956658876452,750,-1095.0068982241119
m0.25_s0.08_c3.0,sensitivity,0.25,0.08,3.0,3,0.0012004801920768306,2.4879442625981714,750,-1845.0068982241119
m0.25_s0.08_c5.0,sensitivity,0.25,0.08,5.0,0,0.0,0.0,750,-3345.006898224112
m0.25_s0.08_c8.0,sensitivity,0.25,0.08,8.0,0,0.0,0.0,750,-5595.006898224112
m0.25_s0.10_c1.0,sensitivity,0.25,0.1,1.0,399,0.15966386554621848,206.86148385833127,750,-243.75861425751458
m0.25_s0.10_c2.0,sensitivity,0.25,0.1,2.0,63,0.025210084033613446,35.74787044091053,750,-993.7586142575146
m0.25_s0.10_c3.0,sensitivity,0.25,0.1,3.0,7,0.0028011204481792717,6.932543336668596,750,-1743.7586142575146
m0.25_s0.10_c5.0,sensitivity,0.25,0.1,5.0,2,0.0008003201280512205,0.5346810628976373,750,-3243.7586142575146
m0.25_s0.10_c8.0,sensitivity,0.25,0.1,8.0,0,0.0,0.0,750,-5493.758614257515
m0.25_s0.15_c1.0,sensitivity,0.25,0.15,1.0,770,0.3081232492997199,593.8170020059955,750,9.362087202850152
